State,Qualifying wage or employment,Waiting week,Computation of wba,Wba for total unemployment Min,Wba for total unemployment Max,Earnings disregarded,Proportion of base period wages,Benefit weeks for total unemployment Min,Benefit weeks for total unemployment Max,Size of firm,1999 Taxable wage base
OR,"1- ½ x hqw; not less than $1000 in BP or 500 hrs. of employment in the BP",1,1.25% of bpw up to 64% of State aww,$84,$360,1/3 wba,1/3,4+,26,"18 wks. or $225 in any qtr.",23000
PA,"37 + - 40; $800 in HQ and $1320 in BP; at least 20% of bpw outside HQ",1,1/23 - 1/25 up to 66-2/3% of State aww + $5 for 1 dep; $3 for 2nd,35-40,375-393,"Greater of $6 or 40% wba","At least 16 credit wks. for min., 18 for max.",16,26,Any time,8000
PR,"40 x wba not less than $280; $75 in 1 qtr.; wages in 2 qtrs.",1,"1/11 - 1/26; up to 50% of State aww",$7,$133,wba,Uniform,26,26,Any time,7000
RI,,1,4.62% of hqw up to 67% of State aww + greater of $10 or 5% of the benefit rate per dep. up to 5 deps.,52-97,383-478,1/5 wba,36%,15+,26,Any time,14000
SC,"1- ½ x hqw; not less than $900; $540 in 1 qtr.",1,1/26 up to 66-2/3% of State aww,$20,$238,1/4 wba,1/3,15,26,20 wks.,7000
SD,"$728 in HQ; 20 x wba outside HQ",1,1/26 up to 50% of State aww,$28,$214,1/4 wages over $25,1/3,15+,26,20 wks.,7000
TN,"40; $780.01 in highest 2 qtrs.",1,1/26 of avg. 2 highest qtrs.,$30,$255,> of $50 or 25% of wba,1/4,12+,26,20 wks.,7000
TX,37 x wba,1,1/25,$47,$287,"Greater of $5 or 1/4 wba",27%,9+,26,20 wks,9000
UT,1- ½ x hqw,1,1/26 up to 60% of State insured avg. FY weekly wage,$20,$298,3/10 wba,27%,10,26,"$140 in CQ in current or preceding CY",18500
VT,"$1299 in a qtr.; BP wages of 40% of total HQ wages",1,,$40,$287,"Greater of 30% of wba or $40",Uniform,26,26,20 wks.,8000
VA,"50; wages in 2 qtrs.",1,1/50 of the 2 highest qtrs.,$50,$230,$25,1/4,12,26,20 wks.,8000
VI,"1- ½ x hqw; $858 in HQ or $858 in HQ and 39 x wba in BP",1,1/26 up to 50% of State aww,$32,$233,Wages in excess of $15,1/3,13+,26,Any time,14600
WA,680 hours,1,1/25 of avg. 2 highest qtrs. wages up to 70% of State aww,$94,$441,1/4 wages over $5,1/3,16 +/-30,30,Any time,26500
WV,"$2200 and wages in 2 qtrs",1,1.0% of annual wages up to 66-2/3% of State aww,$24,$318,$60,Uniform,26,26,20 wks.,8000
WI,"30 x wba; 4 x wba outside HQ",0,4% of hqw up to max. wba,$44,$297,"$30 plus 33% of wages in excess of $30",40%,12,26,20 wks.,10500
WY,"1.4 x hqw; 8% of State aaw in BP",1,4% of hqw up to 55% of State aww,$19,$261,Wages in excess of 50% of wba,3/10,12-26,26,"$500 in current or preceding CY",13100
