,State,Change in Recipiency Rate (2002-2012),% Change in Recipiency Rate (2002-2012),% Change in Real Average WBA (2002-2012),% Change in Real Maximum WBA (2002-2012),% Change in Real Minimum WBA (2002-2012),Change in Recipiency Rate (2003-2013),% Change in Recipiency Rate (2003-2013),% Change in Real Average WBA (2003-2013),% Change in Real Maximum WBA (2003-2013),% Change in Real Minimum WBA (2003-2013),Change in Recipiency Rate (2004-2014),% Change in Recipiency Rate (2004-2014),% Change in Real Average WBA (2004-2014),% Change in Real Maximum WBA (2004-2014),% Change in Real Minimum WBA (2004-2014),Change in Recipiency Rate (2005-2015),% Change in Recipiency Rate (2005-2015),% Change in Real Average WBA (2005-2015),% Change in Real Maximum WBA (2005-2015),% Change in Real Minimum WBA (2005-2015),Change in Recipiency Rate (2006-2016),% Change in Recipiency Rate (2006-2016),% Change in Real Average WBA (2006-2016),% Change in Real Maximum WBA (2006-2016),% Change in Real Minimum WBA (2006-2016),Change in Recipiency Rate (2007-2017),% Change in Recipiency Rate (2007-2017),% Change in Real Average WBA (2007-2017),% Change in Real Maximum WBA (2007-2017),% Change in Real Minimum WBA (2007-2017),Change in Recipiency Rate (2008-2018),% Change in Recipiency Rate (2008-2018),% Change in Real Average WBA (2008-2018),% Change in Real Maximum WBA (2008-2018),% Change in Real Minimum WBA (2008-2018),Change in Recipiency Rate (2009-2019),% Change in Recipiency Rate (2009-2019),% Change in Real Average WBA (2009-2019),% Change in Real Maximum WBA (2009-2019),% Change in Real Minimum WBA (2009-2019),Change in Recipiency Rate (2010-2020),% Change in Recipiency Rate (2010-2020),% Change in Real Average WBA (2010-2020),% Change in Real Maximum WBA (2010-2020),% Change in Real Minimum WBA (2010-2020),Change in Recipiency Rate (2011-2021),% Change in Recipiency Rate (2011-2021),% Change in Real Average WBA (2011-2021),% Change in Real Maximum WBA (2011-2021),% Change in Real Minimum WBA (2011-2021),Change in Recipiency Rate (2012-2022),% Change in Recipiency Rate (2012-2022),% Change in Real Average WBA (2012-2022),% Change in Real Maximum WBA (2012-2022),% Change in Real Minimum WBA (2012-2022),Change in Recipiency Rate (2013-2023),% Change in Recipiency Rate (2013-2023),% Change in Real Average WBA (2013-2023),% Change in Real Maximum WBA (2013-2023),% Change in Real Minimum WBA (2013-2023)
11,HI,-16.960650005735,-33.87788539368221,10.084699077262092,5.240349891661994,-20.507399577167032,-7.278319344412997,-16.558925429067763,7.678853721704612,8.118000546298818,-19.870410367170624,-6.028146015792996,-14.772140851131029,7.140468227424757,4.813598813810635,-19.646799116997794,-2.2349146225149994,-6.313291251507229,4.940808140103701,3.4345068768431677,-17.995444191343957,-3.073165503352998,-7.927929906444256,1.325852557673007,2.943212408665546,-16.94117647058824,10.672480080330999,27.439643030088916,6.6990291262135875,3.834061805076298,-16.747572815533978,-3.1848234608139956,-7.012693032061066,3.0778515389257834,-1.254144442842734,-16.582914572864325,-8.850661438485002,-18.489524943562845,1.4860626667057457,-6.4360529217199645,-19.04761904761905,54.306321332954,139.11723195053088,-14.54729508440766,-6.775478788427583,-19.493670886075947,9.186741356236,29.201310569671136,-9.732021196063585,-7.900912646675367,-20.83333333333333,-3.909481879983001,-11.809901428313786,-4.666437306477345,-0.5515733821361436,-25.265957446808507,4.0180210205070015,10.95552917168461,3.2392078465671283,4.049820625536868,-27.223719676549862
12,IA,-14.210835344704996,-29.40496814037676,2.699272296496867,8.59650411280847,8.312716476991588,-10.787215540855,-24.38588958887207,3.8338388945062327,8.838255569262031,10.101010101010086,-3.2906308817899967,-9.025038490262217,8.71557649907051,10.162381107374063,10.480887792848335,1.4531603849850028,4.160649193544476,13.137732892216603,12.757736612140247,13.263567778048174,-3.0707802106489988,-7.70638620353852,15.176244392223875,13.54546419849221,13.80793119923555,-0.02389848229500391,-0.05971573044015717,17.34693877551021,15.349640490624541,13.774429008712035,2.2115178220550034,5.271662749873658,15.27263547627062,14.942852118867576,16.893993778415894,-6.987316489004003,-14.335017609738168,11.539688871160752,11.02341047257582,13.360787005261946,53.296076157386,135.17520340334556,-0.6844044871016068,11.469178648157326,11.434878587196467,2.752929305356999,8.06429165344937,10.872008324661813,11.626170761504001,10.982000455684666,-10.665955069614,-31.26271683946354,17.763862569003873,10.935650762519856,11.489264504339884,-11.008007113055001,-32.910547025599115,18.136817333441538,9.327288485899047,9.219064667710908
13,ID,-18.094664675557006,-37.107714911165786,-14.816779383812925,-13.454313699181542,12.202195980940528,-24.621434532960006,-48.79843210565436,-10.442995277715314,-9.649003004643538,12.904590649460532,-12.939917467738999,-28.68646438177998,-0.7128261179489617,-2.620545073375262,13.422818791946314,-16.746099128683,-36.92673393394572,0.3902393154356164,0.23107625516419306,15.551093261936632,-15.937582094704,-37.23067022878238,2.132624014186393,5.737674962540653,17.235809875403778,-24.890051289757004,-46.55301529014756,3.3933649289099512,1.0596644994432232,17.614853606284214,-24.533693631739993,-48.51631832568255,-2.45393176427659,-7.169980668323661,3.5745233968804286,-26.066303921714006,-51.658138951343425,0.036335558886320805,-7.431614621157108,-10.342835130970734,6.054400714942998,15.302342871936597,-1.2159674450150137,7.8732997385670345,-19.578207381370827,-11.648052190563998,-34.531762537448216,10.709146968139777,9.036331241769302,-20.86044830079537,-12.691279799038998,-41.38297575447234,14.88246588137615,8.875624975776146,-25.166174298375175,-5.035287606957997,-19.490973771245834,16.88846482197559,8.51787468823219,-27.18755855349447
14,IL,-18.347047342945,-40.78791858747719,-13.126638269986888,-1.3197322282435404,-20.171149144254276,-17.494626565335004,-40.700826993209326,-10.88466308391898,1.6703496685298278,-19.7548815953469,-10.897140488603002,-27.536147441878324,-3.8909300163782,3.860618364562174,-18.995958306743248,-7.079563106999998,-19.01135258119339,2.3394453978863727,6.53673163418291,-15.978928884986832,-11.656595345126997,-27.985026161011245,4.872483221476505,6.569247403427153,-14.639082527546657,-5.637839465713002,-14.436682533064287,6.661123025077684,5.443289710033368,-13.80424746075715,-2.9326202604149976,-7.880803664889282,8.327347818279767,8.803492294463922,-12.323522373773626,-5.4179797536839995,-12.963202291001283,5.8352500212965275,4.991654331874161,-14.170233000475513,35.151808073621005,110.73184068608062,-3.9824012337279453,8.95809921335689,-13.330101793504607,19.097090744510005,67.17331012929061,3.191337797407037,10.80272287809531,-14.86114585939454,-1.6104509865810024,-6.046478964974556,12.521804723963967,8.176120945858639,-19.576314446145986,5.066590556051004,19.877681593044496,21.63566358955327,9.96292271303457,-21.408231944084914
15,IN,-17.633951372892,-46.04215158856694,-9.683972030157435,-0.21650068280985713,-20.16212845562254,-19.406260462015,-49.81961484275157,-27.008690349138593,-6.848278471433984,-40.61440677966102,-13.89338553628,-42.46258996812255,-25.219103509517005,-9.22213561964146,-40.060763888888886,-13.199230621122002,-42.21459547843428,-25.305967312808818,-11.18830203561569,-37.83299753749721,-14.925667778659,-44.55798203546962,-21.76627331556908,-14.646123085065721,-36.8348623853211,-17.395872196168003,-46.22146989862006,-20.22894898586355,-13.812671677382369,-36.2137979750412,-20.483520347569996,-52.90363147617396,-17.36078796339382,-12.338068715188689,-35.123260922626315,-19.822215147486,-52.812595022802114,-19.652567975830824,-14.17690035753147,-36.493695441319105,37.060945513552,151.07938063714928,-35.228574815283096,-13.328473168721674,-35.871446229913474,12.631467582111,57.96461425448772,-28.01952349437458,-14.866677572386717,-36.99923449859657,-0.7092365794359984,-3.4319620307169854,-20.566608996539788,-19.567394352092922,-40.48424889351731,0.22436167748400015,1.1478184405242642,1.7389033942558811,-21.429054968860008,-21.441312879058156
16,KS,-7.552281752532003,-19.18979309930002,-6.448961291286801,6.438223636987796,6.748466257668712,-8.688314238091998,-22.507104528812132,-2.973601319934006,6.074005834484886,6.380881990638078,-0.9054379744469987,-3.095510103373502,4.514303928599894,8.234675898735738,8.928794113979295,-2.0926286158249985,-7.7538098634781685,9.10898175022863,10.944808231992525,11.408805031446532,-3.9237801220490005,-14.608441316396197,7.62596105061857,8.467072495849482,8.298397040690512,-6.578494900918,-23.646382318769504,8.64021020904979,5.834095760902713,5.935009196811776,-12.500876738827,-38.82001347029517,5.507884972170686,2.0898296953706006,2.416626389560174,-27.150934724867003,-59.40231804240012,-1.715790972518864,-3.83237309026285,-3.5565819861431853,32.736503433211,93.37164819855174,-4.146449051610068,-2.9912106606180924,-2.9938761623951016,3.906285188904002,12.79772263833539,16.010621680724775,-1.557550158394932,-1.4650283553875174,-14.507961973359999,-45.61758588442276,9.070213275820745,-2.1785023163079833,-2.169833450621638,-15.163533078028,-50.69003866872722,9.762318840579706,-3.508670352893496,-3.5085687818434477
17,KY,-15.210029959646999,-41.522190455846044,-10.88987895753657,-2.0792640665364575,-22.37576401807069,-12.044176401148999,-36.917539158752454,-9.103863849191814,-1.3569264487848836,-21.80532898314301,-9.442845680806,-30.54566888268902,-10.496268808873294,-10.345854806517924,-21.159743518260377,-3.065936435944,-11.825007598777518,-7.463829444242929,-6.976241900647952,-18.19231879872944,-3.9175838894650012,-14.873809264959997,-3.7910214810859615,-4.865209762322539,-16.33323380113467,-8.298927486682,-29.31941737770557,-5.904669653307512,-12.67668768490572,-15.637480798771112,-8.783903760997,-29.06617870363844,-1.6033183105332356,-7.193768608462908,-14.048000000000002,-12.234587264420998,-37.38655413913539,-0.3714565004887541,2.093817397555718,-15.588141536499842,56.82073578061,242.94165534614928,-12.128348542831912,13.05698535010508,-14.975688816855756,20.332327253620004,97.41185285611202,12.750217580504792,14.732663284917608,-16.325846463291978,-9.339469700536,-43.59947980625727,13.671961417636403,7.9016794286081975,-21.294077370763446,-10.822835454902899,-52.58817088361988,22.12318029115341,15.373305015520344,-23.50486787204451
18,LA,-5.818811738256,-19.24443655827385,-24.13758013635901,-25.68295034549252,-22.383419689119172,-9.879407650640001,-34.27034261352262,-21.036775399958447,-25.12946979038225,-21.845174973488863,-13.70390751583,-46.64018344426278,-18.005343802824573,-24.506911665542823,-21.19565217391304,-27.899567657851996,-63.11121171999359,-14.844264093002863,-21.67270505041687,-18.243243243243253,-19.797848282910998,-61.948214726363545,-9.579900197284433,-19.895287958115187,-16.298020954598364,-8.030943398992,-32.62894720127758,-12.392546010500212,-19.21969345099862,-15.587529976019182,-14.069537683029997,-51.6424006218418,-14.20793818054091,-17.695433436532515,-13.982521847690387,-26.148073140834,-67.74469179935686,-21.313586606567945,-26.59546528932856,-15.54726368159203,56.478410508724,160.03034405401337,-25.19717725197177,-14.999232383194311,-15.044247787610624,5.596807180752999,19.21554518845584,-21.296052631578952,-16.325234238526285,-16.33986928104575,-10.484809166444,-42.93969671794748,-12.528504359490281,-12.379047516081954,-21.361815754339126,-2.939956795571999,-15.515548028363321,-9.53164057360874,-14.844093104962667,167.84260515603796
19,MA,-23.572287351510003,-36.35402296702265,-15.847734565902211,-2.307093390156946,-12.807525325615046,-18.069031030620998,-32.797286600208615,-10.235580828594635,3.291069225205286,-11.60282632949052,-12.766419720517996,-24.005928006552164,-4.033095392602209,5.992706823074552,-9.772989611388994,-8.560979273024005,-16.95103250788601,1.14512736620706,8.771084337349402,-6.342241723175109,-2.3438276514339993,-4.77207311385365,8.781061114842167,15.361917515945256,7.64462809917356,-5.501229041638994,-10.475928715767203,12.68591719147796,9.638734501923892,1.4274385408406005,-5.058506187950995,-9.671728410237176,13.406776831914527,10.845298453410598,13.498402555910555,-2.098693891843001,-4.086591282682068,10.098234309359118,7.774204055044365,12.669172932330817,48.60205660177,117.67770635731189,-8.859729427321735,12.124101054900418,154.52390359541684,3.656202945476,9.345704398046195,8.73038415110416,16.268672756582493,165.24216524216524,-3.3331772286369965,-8.07677898825315,23.45717884130983,20.822147651006716,34.97925311203319,14.280737698929002,38.57153166606295,35.20710059171597,19.518876279529586,39.503575936053835
20,MD,-6.979330204078998,-19.84428549534655,8.574981127048272,19.21596209372919,55.26533996683251,-7.040523039426,-20.114060488839556,3.787489288774637,8.473010877745105,56.36132315521628,-1.249212537583999,-4.108208710949416,2.0407288317256125,9.379165205191144,57.72074815137016,0.15357904196500183,0.5624620474547639,7.066684366564892,13.489064884109567,63.60360360360361,1.311010315687,4.842658451260371,0.8034506089309902,5.818891704911298,67.3497904052166,-5.553235220372999,-16.78974038629011,4.133579430828002,6.714129630282294,68.79194630872483,-12.067764696433999,-33.02782455860338,0.1072784287836239,-2.7162845694015574,71.94208686969543,-12.602022261566,-34.644479478350746,-2.6483944861953956,-4.494749582910796,68.82148184982597,34.466972355521996,114.51410124802703,-13.939442422303106,-10.854887936615587,69.96966632962585,-2.215742754062,-8.036500030730833,-12.951856054465871,-16.3225590658923,67.36401673640167,-9.681471483160001,-34.34223860452732,-13.8118609406953,-21.301040211147342,-21.308411214953278,1.474534138553002,5.273261549416126,-10.625825627476885,-23.5123458736716,-23.515052888527254
21,ME,-13.752139120803996,-32.33227528081216,-2.7494766224703406,3.0700401110768425,4.308035714285714,-9.235233241608999,-24.915240927710233,-3.4214906602552277,2.134309017455607,3.0596522121945866,-6.188059480128,-17.35281428428579,-0.7081412480395461,2.6561186272261668,2.6258205689277805,-1.6929775945000003,-5.404477306180111,2.5588682111659775,5.166602834163137,6.005338078291805,-1.5321526834260024,-5.078972001972482,7.642943305186973,7.006930351878091,7.789613848202393,-4.584766231125004,-14.365851557439498,10.02062646903632,8.857647691480373,7.7260755048287875,-8.518476599045998,-25.27656811721069,11.050759469332826,9.217639789928949,10.764745458623002,-9.493501312257996,-26.166239023721836,5.508512746599401,6.663198186480362,6.435116130406995,85.30506723442299,277.9297221839898,-1.5098020997863049,7.1185323519718775,6.433978132884767,2.874027540945001,9.811029164842173,9.265633964429142,9.377338721748242,9.664138678223187,-4.531935002457002,-15.745922490081787,16.111748947569847,13.093099835353991,12.647121763321215,2.2957832849250015,8.2489053572454,25.244159325928774,14.780953802522559,14.780008543357543
22,MI,-22.660863011142002,-46.79492065811296,-15.6674720628209,-3.675349868366362,15.306646138054925,-20.884273761935003,-48.12750013898696,-18.711967545638945,-19.74539069359086,15.916819251896419,-16.497739075370003,-40.22550003017079,-16.421179847420486,-18.995953843848344,16.997053308331097,-14.585050418661,-35.97926208173322,-11.232631456038614,-15.971921578328892,21.365395245992254,-15.428092344403,-36.872905788006605,-7.477377361485951,-14.64504070706751,23.290386521308232,-13.182761458177,-33.18575566829398,-5.902721855371245,-13.814184904555956,10.477311643835623,-14.425555632492998,-35.40229069982069,-5.631322439284105,-12.338187702265362,14.038876889848813,-14.626280632218997,-35.440354733257266,-7.978133417841858,-14.178054662379417,7.835008809203028,50.554234014927005,183.45059575589636,-10.33851784080513,-13.328097254473425,11.114632857897512,10.383270415637003,39.387001162958455,-6.651953211211663,-14.867294067886217,9.13849509269356,-4.366978702508997,-16.949240751690862,-7.028382129107345,-19.56701549969432,7.933681985089569,2.1422858685249984,9.517309029794955,-9.361910703145885,-21.43091565474237,7.4466884801985875
