,State,Year,Quarter,Civilian Labor Force(000),Covered Employment(000),Subject Employers(000),Total Unemployment Rate,Unnamed: 7,Total Unemployed(000),Insured Unemployed Regular Programs(000),Insured Unemployed All Programs(000),Recipiency Rates Regular Programs ,Unnamed: 12,Recipiency Rates All Programs ,Unnamed: 14
25,HI,2003.0,2.0,604,536,29.0,4.1,50,25.0,11.15,11.15,44.7,16,44.7,16
26,HI,2003.0,3.0,603,535,29.0,4.1,49,25.0,10.94,10.94,44.1,11,44.1,13
27,HI,2003.0,4.0,605,546,29.0,3.7,50,23.0,10.07,10.07,44.5,16,44.5,17
28,HI,2004.0,1.0,608,544,30.0,3.5,53,22.0,10.13,10.13,47,18,47,18
29,HI,2004.0,2.0,611,552,30.0,3.4,52,21.0,9.0,9.0,43.1,10,43.1,10
30,HI,2004.0,3.0,613,553,30.0,3.2,52,20.0,8.09,8.09,41.3,11,41.3,11
31,HI,2004.0,4.0,616,566,30.0,3,52,19.0,7.24,7.24,38.9,16,38.9,16
32,HI,2005.0,1.0,618,562,30.0,2.9,53,18.0,7.32,7.32,40.8,24,40.8,24
33,HI,2005.0,2.0,624,572,30.0,2.9,52,18.0,6.71,6.71,37.2,18,37.2,18
34,HI,2005.0,3.0,630,573,30.0,2.8,53,18.0,6.63,6.63,37,14,37,14
35,HI,2005.0,4.0,630,582,30.0,2.7,52,17.0,6.13,6.13,36.5,24,36.5,24
36,HI,2006.0,1.0,631,579,31.0,2.6,52,16.0,6.81,6.81,42.1,24,42.1,24
37,HI,2006.0,2.0,635,586,31.0,2.9,51,18.0,7.0,7.0,38.2,16,38.2,16
38,HI,2006.0,3.0,637,586,31.0,2.6,53,16.0,6.79,6.79,41.7,9,41.7,9
39,HI,2006.0,4.0,639,594,31.0,2.1,53,13.0,6.7,6.7,49.8,9,49.8,9
40,HI,2007.0,1.0,639,591,31.0,2.5,53,16.0,7.0,7.0,44.7,20,44.7,20
41,HI,2007.0,2.0,637,594,31.0,2.7,51,17.0,6.93,6.93,40.1,16,40.1,16
42,HI,2007.0,3.0,634,591,31.0,2.9,48,18.0,7.57,7.57,41.3,11,41.3,11
43,HI,2007.0,4.0,636,600,31.0,2.9,48,19.0,7.84,7.84,42,16,42,16
44,HI,2008.0,1.0,641,595,31.0,3.1,52,20.0,9.05,9.05,46.2,18,46.2,18
45,HI,2008.0,2.0,645,592,31.0,3.7,46,24.0,11.03,11.03,45.7,9,45.7,9
46,HI,2008.0,3.0,642,582,31.0,4.4,42,28.0,13.33,13.33,47.6,6,47.6,7
47,HI,2008.0,4.0,637,581,31.0,4.9,40,31.0,16.31,16.31,52.1,9,52.1,9
48,IA,2003.0,1.0,"1,612","1,356",69.0,5,43,80.0,43.72,43.72,54.7,11,54.7,13
49,IA,2003.0,2.0,"1,607","1,396",69.0,4.4,46,71.0,29.02,29.02,41.1,22,41.1,22
50,IA,2003.0,3.0,"1,604","1,389",69.0,4.3,45,69.0,25.54,25.54,37.2,24,37.2,24
51,IA,2003.0,4.0,"1,608","1,400",69.0,4.1,43,67.0,26.43,26.43,39.7,25,39.7,26
52,IA,2004.0,1.0,"1,598","1,367",69.0,5.1,40,81.0,39.87,39.87,49.1,16,49.1,16
53,IA,2004.0,2.0,"1,606","1,417",69.0,4.3,43,70.0,23.01,23.01,33.1,26,33.1,26
54,IA,2004.0,3.0,"1,614","1,411",69.0,4.3,39,70.0,20.63,20.63,29.5,29,29.5,29
55,IA,2004.0,4.0,"1,613","1,423",69.0,4.4,31,71.0,21.39,21.39,30.3,29,30.3,29
56,IA,2005.0,1.0,"1,608","1,389",70.0,5.2,34,83.0,35.74,35.74,43.1,19,43.1,19
57,IA,2005.0,2.0,"1,626","1,442",70.0,4.2,38,68.0,19.89,19.89,29.4,30,29.4,30
58,IA,2005.0,3.0,"1,640","1,436",70.0,3.9,40,65.0,18.91,18.91,29.3,30,29.3,30
59,IA,2005.0,4.0,"1,640","1,446",71.0,4,37,65.0,21.53,21.53,33.2,29,33.2,29
60,IA,2006.0,1.0,"1,636","1,418",71.0,4.3,36,70.0,34.04,34.04,48.4,16,48.4,16
61,IA,2006.0,2.0,"1,656","1,468",71.0,3.4,42,57.0,20.8,20.8,36.4,20,36.4,20
62,IA,2006.0,3.0,"1,663","1,457",71.0,3.5,42,58.0,19.65,19.65,33.7,21,33.7,21
63,IA,2006.0,4.0,"1,668","1,468",71.0,3.4,41,57.0,22.18,22.18,39.2,21,39.2,21
64,IA,2007.0,1.0,"1,652","1,432",72.0,4.3,34,71.0,37.84,37.84,53.4,13,53.4,13
65,IA,2007.0,2.0,"1,660","1,481",72.0,3.6,38,59.0,21.54,21.54,36.3,25,36.3,25
66,IA,2007.0,3.0,"1,665","1,473",72.0,3.5,42,58.0,17.85,17.85,30.7,26,30.7,26
67,IA,2007.0,4.0,"1,671","1,483",72.0,3.5,41,58.0,23.04,23.04,39.5,21,39.5,21
68,IA,2008.0,1.0,"1,663","1,445",72.0,4.3,38,72.0,37.68,37.68,52.7,11,52.7,11
69,IA,2008.0,2.0,"1,680","1,490",72.0,3.8,45,63.0,24.58,24.58,38.9,18,38.9,18
70,IA,2008.0,3.0,"1,694","1,478",72.0,4.1,46,69.0,23.06,23.06,33.2,24,33.2,24
71,IA,2008.0,4.0,"1,692","1,475",72.0,4.4,46,75.0,33.4,33.4,44.6,16,44.6,16
72,ID,2003.0,1.0,687,543,41.0,6.6,17,46.0,26.47,26.47,58.1,9,58.1,9
73,ID,2003.0,2.0,694,564,41.0,5.5,31,38.0,18.22,18.22,47.8,11,47.8,13
74,ID,2003.0,3.0,693,574,41.0,5,38,34.0,13.59,13.59,39.4,21,39.4,21
75,ID,2003.0,4.0,693,568,42.0,5.1,29,35.0,16.35,16.35,46.2,12,46.2,14
76,ID,2004.0,1.0,692,550,42.0,6.3,17,43.0,24.32,24.32,56.1,10,56.1,11
77,ID,2004.0,2.0,699,581,42.0,4.7,37,33.0,13.17,13.17,40.3,14,40.3,14
78,ID,2004.0,3.0,708,592,43.0,4.2,42,29.0,9.99,9.99,34,21,34,21
79,ID,2004.0,4.0,712,588,44.0,4.4,31,32.0,12.86,12.86,40.8,12,40.8,12
80,ID,2005.0,1.0,718,574,44.0,5.3,33,38.0,20.28,20.28,53.4,10,53.4,10
81,ID,2005.0,2.0,730,599,45.0,3.9,43,28.0,11.65,11.65,41.3,12,41.3,12
82,ID,2005.0,3.0,738,618,46.0,3.3,47,24.0,8.37,8.37,34.3,20,34.3,20
83,ID,2005.0,4.0,736,614,46.0,3.4,43,25.0,10.42,10.42,41.3,12,41.3,12
84,ID,2006.0,1.0,737,604,48.0,4.9,29,36.0,17.44,17.44,48.5,15,48.5,15
85,ID,2006.0,2.0,742,634,48.0,3.2,45,24.0,8.89,8.89,37,19,37,19
86,ID,2006.0,3.0,749,645,49.0,2.8,46,21.0,6.55,6.55,31.8,24,31.8,24
87,ID,2006.0,4.0,749,640,49.0,2.9,45,22.0,9.69,9.69,44.2,14,44.2,14
88,ID,2007.0,1.0,749,625,50.0,4.1,37,30.0,17.67,17.67,58.2,10,58.2,10
89,ID,2007.0,2.0,755,653,51.0,2.6,52,20.0,9.3,9.3,47.6,8,47.6,8
90,ID,2007.0,3.0,761,661,51.0,2.5,52,19.0,7.95,7.95,42.4,10,42.4,10
91,ID,2007.0,4.0,756,652,51.0,3.2,46,24.0,13.61,13.61,57,5,57,5
92,ID,2008.0,1.0,747,628,51.0,4.1,41,31.0,23.75,23.75,76.7,2,76.7,2
93,ID,2008.0,2.0,761,648,51.0,4.4,35,34.0,14.69,14.69,43.6,12,43.6,12
94,ID,2008.0,3.0,767,653,51.0,5,34,38.0,12.69,12.69,33.4,22,33.4,22
95,ID,2008.0,4.0,763,631,51.0,6.4,23,49.0,24.21,24.21,49.7,11,49.7,11
96,IL,2003.0,1.0,"6,266","5,524",277.0,7.1,11,447.0,221.2,221.2,49.5,21,49.5,21
97,IL,2003.0,2.0,"6,320","5,643",279.0,6.7,13,424.0,184.11,184.11,43.4,20,43.4,20
98,IL,2003.0,3.0,"6,341","5,613",280.0,6.9,7,435.0,180.65,180.65,41.5,18,41.5,18
99,IL,2003.0,4.0,"6,315","5,645",282.0,6.3,9,396.0,168.4,168.41,42.5,20,42.5,20
100,IL,2004.0,1.0,"6,297","5,490",281.0,6.8,11,429.0,211.62,211.62,49.4,15,49.4,15
101,IL,2004.0,2.0,"6,340","5,644",282.0,6.2,8,392.0,154.9,154.9,39.5,16,39.5,16
102,IL,2004.0,3.0,"6,383","5,629",284.0,6,11,383.0,137.33,137.33,35.9,16,35.9,16
103,IL,2004.0,4.0,"6,375","5,680",285.0,5.8,11,369.0,136.86,136.86,37.1,19,37.1,19
104,IL,2005.0,1.0,"6,344","5,527",285.0,6.3,13,401.0,183.98,183.98,45.8,15,45.8,15
105,IL,2005.0,2.0,"6,413","5,691",287.0,5.9,9,378.0,134.31,134.31,35.6,19,35.6,19
106,IL,2005.0,3.0,"6,452","5,690",289.0,5.6,12,358.0,122.34,122.34,34.1,21,34.1,21
107,IL,2005.0,4.0,"6,434","5,732",291.0,5.1,17,327.0,122.29,122.29,37.4,21,37.4,21
108,IL,2006.0,1.0,"6,414","5,608",291.0,5.3,18,343.0,165.13,165.13,48.2,17,48.2,17
109,IL,2006.0,2.0,"6,493","5,767",293.0,4.5,27,294.0,119.13,119.13,40.5,11,40.5,11
110,IL,2006.0,3.0,"6,574","5,755",294.0,4.4,30,292.0,112.05,112.05,38.4,12,38.4,12
111,IL,2006.0,4.0,"6,581","5,803",295.0,4,26,262.0,116.1,116.1,44.3,13,44.3,13
112,IL,2007.0,1.0,"6,548","5,668",295.0,5.1,22,333.0,170.86,170.86,51.4,15,51.4,15
113,IL,2007.0,2.0,"6,621","5,818",297.0,4.9,15,325.0,125.05,125.05,38.5,20,38.5,20
114,IL,2007.0,3.0,"6,696","5,801",297.0,5.2,12,347.0,115.5,115.5,33.3,21,33.3,21
115,IL,2007.0,4.0,"6,691","5,840",299.0,5.2,10,347.0,131.05,131.05,37.8,23,37.8,23
116,IL,2008.0,1.0,"6,665","5,688",298.0,6.1,9,405.0,185.47,185.47,45.8,19,45.8,19
117,IL,2008.0,2.0,"6,695","5,813",300.0,6.1,10,412.0,146.23,146.23,35.5,25,35.5,25
118,IL,2008.0,3.0,"6,666","5,771",301.0,6.7,13,447.0,143.34,143.34,32.1,26,32.1,26
119,IL,2008.0,4.0,"6,585","5,744",303.0,7,16,460.0,181.62,181.62,39.5,26,39.5,26
120,IN,2003.0,1.0,"3,156","2,741",126.0,5.5,36,175.0,77.61,77.61,44.3,32,44.3,32
121,IN,2003.0,2.0,"3,193","2,799",125.0,5.1,39,163.0,61.95,61.95,38,27,38,27
122,IN,2003.0,3.0,"3,195","2,782",125.0,5.3,35,170.0,61.01,61.01,35.9,26,35.9,26
123,IN,2003.0,4.0,"3,171","2,818",125.0,5.1,29,160.0,56.56,56.56,35.3,30,35.3,30
124,IN,2004.0,1.0,"3,153","2,748",126.0,6,24,191.0,74.79,74.79,39.2,29,39.2,29
125,IN,2004.0,2.0,"3,172","2,831",125.0,5.2,27,164.0,50.13,50.13,30.6,31,30.6,31
126,IN,2004.0,3.0,"3,173","2,821",125.0,5.2,27,164.0,49.27,49.27,30,28,30,28
127,IN,2004.0,4.0,"3,163","2,850",126.0,5.3,18,166.0,50.35,50.35,30.3,29,30.3,29
128,IN,2005.0,1.0,"3,156","2,780",127.0,6.2,14,196.0,71.91,71.91,36.7,28,36.7,28
129,IN,2005.0,2.0,"3,206","2,854",126.0,5.2,22,166.0,49.75,49.75,30,28,30,28
130,IN,2005.0,3.0,"3,225","2,842",126.0,5.2,20,167.0,48.62,48.62,29.1,31,29.1,31
131,IN,2005.0,4.0,"3,222","2,873",126.0,5.1,17,163.0,46.89,46.89,28.7,33,28.7,33
132,IN,2006.0,1.0,"3,213","2,808",127.0,5.5,14,176.0,67.97,67.97,38.5,28,38.5,28
133,IN,2006.0,2.0,"3,247","2,874",126.0,4.9,18,159.0,48.41,48.41,30.5,29,30.5,29
134,IN,2006.0,3.0,"3,247","2,854",127.0,4.9,19,160.0,47.95,47.95,30,27,30,27
135,IN,2006.0,4.0,"3,237","2,887",128.0,4.5,17,146.0,50.77,50.77,34.8,27,34.8,27
136,IN,2007.0,1.0,"3,200","2,814",130.0,5.3,14,168.0,73.65,73.65,43.8,21,43.8,21
137,IN,2007.0,2.0,"3,202","2,890",130.0,4.4,22,141.0,51.31,51.31,36.4,24,36.4,24
138,IN,2007.0,3.0,"3,202","2,874",131.0,4.4,27,141.0,48.96,48.96,34.6,20,34.6,20
139,IN,2007.0,4.0,"3,207","2,897",130.0,4.4,23,142.0,53.11,53.11,37.4,24,37.4,24
140,IN,2008.0,1.0,"3,206","2,810",131.0,5.5,18,176.0,78.96,78.96,44.8,21,44.8,21
141,IN,2008.0,2.0,"3,253","2,868",132.0,5.2,19,169.0,61.61,61.61,36.5,23,36.5,23
142,IN,2008.0,3.0,"3,273","2,840",132.0,5.9,21,193.0,68.39,68.39,35.4,18,35.4,18
143,IN,2008.0,4.0,"3,248","2,820",131.0,7,16,227.0,95.4,95.4,42.1,18,42.1,19
144,KS,2003.0,1.0,"1,428","1,247",68.0,5.5,36,78.0,35.97,35.97,45.9,24,45.9,24
145,KS,2003.0,2.0,"1,441","1,268",68.0,5.5,31,79.0,31.88,31.88,40.2,25,40.2,25
146,KS,2003.0,3.0,"1,446","1,249",68.0,5.8,25,84.0,30.38,30.38,36,25,36,25
147,KS,2003.0,4.0,"1,450","1,270",68.0,5.4,21,78.0,27.91,27.92,35.9,29,35.9,29
148,KS,2004.0,1.0,"1,450","1,243",69.0,5.9,26,86.0,32.21,32.21,37.5,33,37.5,33
149,KS,2004.0,2.0,"1,459","1,282",68.0,5.5,22,80.0,23.6,23.6,29.5,35,29.5,35
150,KS,2004.0,3.0,"1,466","1,270",69.0,5.5,19,81.0,21.59,21.59,26.6,38,26.6,38
151,KS,2004.0,4.0,"1,461","1,288",69.0,5.1,21,75.0,19.45,19.45,26,39,26,39
152,KS,2005.0,1.0,"1,453","1,260",70.0,5.6,25,81.0,25.89,25.89,31.8,34,31.8,34
153,KS,2005.0,2.0,"1,459","1,292",69.0,5,25,73.0,19.55,19.55,26.6,36,26.6,36
154,KS,2005.0,3.0,"1,463","1,276",70.0,5.1,24,74.0,18.2,18.2,24.6,37,24.6,37
155,KS,2005.0,4.0,"1,461","1,294",70.0,4.6,26,68.0,19.06,19.06,28.1,35,28.1,35
156,KS,2006.0,1.0,"1,446","1,275",70.0,4.8,32,69.0,21.1,21.1,30.5,38,30.5,38
157,KS,2006.0,2.0,"1,462","1,307",70.0,4.3,32,63.0,16.94,16.94,27,36,27,36
158,KS,2006.0,3.0,"1,477","1,299",71.0,4.5,26,67.0,16.91,16.91,25.2,35,25.2,35
159,KS,2006.0,4.0,"1,485","1,324",71.0,4,26,59.0,16.92,16.92,28.5,37,28.5,37
160,KS,2007.0,1.0,"1,477","1,308",71.0,4.4,31,66.0,21.46,21.46,32.7,36,32.7,36
161,KS,2007.0,2.0,"1,484","1,338",71.0,4.1,32,61.0,16.9,16.9,27.6,39,27.6,39
162,KS,2007.0,3.0,"1,491","1,335",71.0,4.4,27,65.0,16.37,16.37,25,42,25,42
163,KS,2007.0,4.0,"1,490","1,349",71.0,4.1,30,61.0,17.98,17.98,29.5,36,29.5,36
164,KS,2008.0,1.0,"1,479","1,328",71.0,4.4,35,65.0,22.04,22.04,33.7,40,33.7,40
165,KS,2008.0,2.0,"1,493","1,357",71.0,4.2,39,63.0,19.0,19.0,30.1,37,30.1,37
166,KS,2008.0,3.0,"1,500","1,335",71.0,4.9,35,73.0,23.0,23.0,31.5,28,31.5,28
167,KS,2008.0,4.0,"1,501","1,348",72.0,4.8,41,72.0,28.06,28.06,39,28,39,28
168,KY,2003.0,1.0,"1,949","1,651",87.0,6.7,16,131.0,51.27,51.27,39.2,36,39.2,36
169,KY,2003.0,2.0,"1,976","1,685",82.0,6.4,16,127.0,39.14,39.14,30.8,40,30.8,40
170,KY,2003.0,3.0,"1,970","1,672",82.0,6.1,17,120.0,37.09,37.09,30.8,38,30.8,38
171,KY,2003.0,4.0,"1,969","1,700",81.0,5.5,19,108.0,31.74,31.74,29.4,43,29.4,43
172,KY,2004.0,1.0,"1,962","1,663",82.0,6.4,14,125.0,44.95,44.95,35.8,36,35.8,36
173,KY,2004.0,2.0,"1,983","1,699",83.0,5.6,19,112.0,33.07,33.07,29.6,34,29.6,34
174,KY,2004.0,3.0,"1,971","1,685",83.0,5.2,27,102.0,31.26,31.26,30.8,25,30.8,25
175,KY,2004.0,4.0,"1,964","1,721",83.0,4.8,28,94.0,27.46,27.46,29.2,31,29.2,31
176,KY,2005.0,1.0,"1,965","1,689",84.0,6.2,14,123.0,38.77,38.77,31.6,35,31.6,35
177,KY,2005.0,2.0,"1,998","1,732",85.0,5.8,11,116.0,28.7,28.7,24.7,40,24.7,40
178,KY,2005.0,3.0,"2,001","1,716",85.0,5.7,11,114.0,27.57,27.57,24.1,38,24.1,38
179,KY,2005.0,4.0,"2,003","1,747",85.0,5.7,9,115.0,26.69,26.69,23.3,44,23.3,44
180,KY,2006.0,1.0,"1,999","1,721",84.0,6.5,6,130.0,36.32,36.32,27.9,41,27.9,41
181,KY,2006.0,2.0,"2,026","1,754",84.0,5.7,8,116.0,27.04,27.04,23.2,43,23.2,43
182,KY,2006.0,3.0,"2,034","1,723",85.0,5.6,8,113.0,28.37,28.37,25,36,25,36
183,KY,2006.0,4.0,"2,046","1,768",85.0,5,9,102.0,31.09,31.09,30.4,32,30.4,32
184,KY,2007.0,1.0,"2,037","1,740",85.0,6.1,8,124.0,37.31,37.31,30,41,30,41
185,KY,2007.0,2.0,"2,046","1,782",86.0,5.3,9,109.0,28.73,28.73,26.4,42,26.4,42
186,KY,2007.0,3.0,"2,032","1,746",86.0,5.2,12,106.0,29.54,29.54,27.8,37,27.8,37
187,KY,2007.0,4.0,"2,027","1,789",86.0,4.9,16,100.0,29.9,29.9,30,35,30,35
188,KY,2008.0,1.0,"2,015","1,749",86.0,6,12,121.0,40.46,40.46,33.3,41,33.3,41
189,KY,2008.0,2.0,"2,045","1,778",87.0,5.9,15,121.0,33.17,33.17,27.4,42,27.4,42
190,KY,2008.0,3.0,"2,046","1,734",87.0,6.6,14,135.0,37.45,37.46,27.8,36,27.8,36
191,KY,2008.0,4.0,"2,047","1,749",86.0,7.4,12,151.0,47.4,47.4,31.5,43,31.5,43
192,LA,2003.0,1.0,"2,009","1,804",94.0,6.2,24,124.0,34.92,34.92,28.1,51,28.1,51
193,LA,2003.0,2.0,"2,041","1,827",94.0,6.7,13,136.0,33.82,33.82,24.8,52,24.8,52
194,LA,2003.0,3.0,"2,031","1,812",95.0,6.7,13,136.0,39.64,39.64,29.1,45,29.1,45
195,LA,2003.0,4.0,"2,019","1,838",94.0,5.5,19,111.0,32.66,32.66,29.3,44,29.3,44
196,LA,2004.0,1.0,"2,004","1,817",95.0,5.8,29,117.0,33.67,33.67,28.9,47,28.9,47
197,LA,2004.0,2.0,"2,034","1,840",96.0,5.9,14,121.0,33.59,33.59,27.8,41,27.8,41
198,LA,2004.0,3.0,"2,041","1,821",96.0,5.8,14,118.0,34.84,34.84,29.4,30,29.4,30
199,LA,2004.0,4.0,"2,043","1,846",96.0,5.3,18,108.0,30.17,30.17,28,34,28,34
200,LA,2005.0,1.0,"2,025","1,824",96.0,5.5,29,112.0,29.78,29.78,26.5,42,26.5,42
201,LA,2005.0,2.0,"2,064","1,864",97.0,5.5,14,113.0,26.51,26.51,23.4,43,23.4,43
202,LA,2005.0,3.0,"2,107","1,814",97.0,7.7,4,162.0,66.21,66.21,40.8,9,40.8,9
203,LA,2005.0,4.0,"2,117","1,727",97.0,9.8,3,207.0,214.09,215.7,103.4,2,104.2,2
204,LA,2006.0,1.0,"1,978","1,733",98.0,4.3,36,85.0,78.71,82.5,92.3,2,96.8,2
205,LA,2006.0,2.0,"2,001","1,776",99.0,4.1,35,81.0,25.83,28.12,31.8,27,34.6,23
206,LA,2006.0,3.0,"2,009","1,777",100.0,4.2,34,84.0,23.32,23.37,27.8,31,27.8,31
207,LA,2006.0,4.0,"2,018","1,816",100.0,3.8,34,77.0,20.81,20.82,27.1,40,27.1,40
208,LA,2007.0,1.0,"2,004","1,811",101.0,4.1,37,82.0,20.81,20.81,25.5,47,25.5,47
209,LA,2007.0,2.0,"2,026","1,839",102.0,4.3,27,87.0,19.94,19.95,22.8,48,22.8,48
210,LA,2007.0,3.0,"2,036","1,834",102.0,4.4,27,89.0,21.09,21.09,23.6,45,23.6,45
211,LA,2007.0,4.0,"2,041","1,866",102.0,3.6,37,74.0,18.99,18.99,25.6,44,25.6,44
212,LA,2008.0,1.0,"2,026","1,844",103.0,4.1,41,82.0,22.44,22.44,27.2,46,27.2,46
213,LA,2008.0,2.0,"2,064","1,867",103.0,4.2,39,88.0,21.4,21.4,24.4,46,24.4,46
214,LA,2008.0,3.0,"2,089","1,847",103.0,5.2,31,109.0,28.06,29.09,25.8,45,26.7,43
215,LA,2008.0,4.0,"2,080","1,875",104.0,5.1,39,105.0,30.86,31.7,29.4,44,30.2,44
216,ME,2003.0,1.0,675,555,39.0,5.9,29,40.0,17.94,17.94,45.3,28,45.3,28
217,ME,2003.0,2.0,684,578,39.0,5.3,38,36.0,13.67,13.67,37.7,28,37.7,28
218,ME,2003.0,3.0,695,592,39.0,4.7,40,32.0,9.5,9.51,29.3,44,29.3,44
219,ME,2003.0,4.0,686,584,40.0,4.8,36,33.0,9.98,9.98,30.5,40,30.5,40
220,ME,2004.0,1.0,678,560,40.0,5.6,34,38.0,16.78,16.78,44.5,23,44.5,23
221,ME,2004.0,2.0,684,586,40.0,4.6,38,31.0,11.62,11.62,37.3,20,37.3,20
222,ME,2004.0,3.0,696,597,40.0,4.1,43,28.0,7.93,7.93,28.1,34,28.1,34
223,ME,2004.0,4.0,686,590,40.0,4.4,31,31.0,8.78,8.78,28.8,32,28.8,32
224,ME,2005.0,1.0,679,559,40.0,5.6,25,38.0,15.77,15.77,41.2,23,41.2,23
225,ME,2005.0,2.0,694,583,41.0,4.9,26,34.0,10.95,10.95,31.9,24,31.9,24
226,ME,2005.0,3.0,709,595,41.0,4.4,33,31.0,7.54,7.54,24.1,38,24.1,38
227,ME,2005.0,4.0,698,586,41.0,4.7,25,33.0,8.26,8.26,25.3,38,25.3,38
228,ME,2006.0,1.0,688,562,41.0,5.3,18,37.0,14.18,14.18,38.6,27,38.6,27
229,ME,2006.0,2.0,699,587,42.0,4.7,20,33.0,9.6,9.6,29.5,32,29.5,32
230,ME,2006.0,3.0,713,598,42.0,4.3,33,31.0,7.17,7.17,23.2,42,23.2,42
231,ME,2006.0,4.0,704,591,42.0,4.5,17,32.0,8.56,8.56,27.1,40,27.1,40
232,ME,2007.0,1.0,693,566,42.0,5.3,14,37.0,14.87,14.87,40.1,27,40.1,27
233,ME,2007.0,2.0,698,589,43.0,4.7,16,33.0,10.83,10.83,33.1,27,33.1,27
234,ME,2007.0,3.0,708,602,43.0,4.2,34,30.0,6.94,6.94,23.4,46,23.4,46
235,ME,2007.0,4.0,700,595,43.0,4.5,20,31.0,8.85,8.85,28.3,40,28.3,40
236,ME,2008.0,1.0,692,570,43.0,5.5,18,38.0,15.93,15.93,41.9,27,41.9,27
237,ME,2008.0,2.0,703,592,43.0,5,23,35.0,11.71,11.71,33.6,32,33.6,32
238,ME,2008.0,3.0,714,601,41.0,4.9,35,35.0,9.29,9.29,26.6,43,26.6,44
239,ME,2008.0,4.0,699,587,43.0,6,25,42.0,13.36,13.36,31.7,41,31.7,41
240,MA,2003.0,1.0,"3,407","3,048",174.0,6.1,25,209.0,136.74,136.74,65.3,5,65.3,5
241,MA,2003.0,2.0,"3,422","3,117",175.0,5.8,25,198.0,109.44,109.45,55.2,5,55.2,5
242,MA,2003.0,3.0,"3,437","3,082",175.0,5.8,25,198.0,104.23,104.23,52.5,6,52.5,7
243,MA,2003.0,4.0,"3,411","3,109",176.0,5.2,25,177.0,97.59,97.6,55.3,7,55.3,7
244,MA,2004.0,1.0,"3,403","3,019",176.0,5.9,26,200.0,126.97,126.97,63.3,4,63.3,4
245,MA,2004.0,2.0,"3,405","3,113",177.0,5.1,29,174.0,90.9,90.9,52.1,5,52.1,5
246,MA,2004.0,3.0,"3,419","3,087",178.0,4.9,32,169.0,87.15,87.15,51.5,4,51.5,4
247,MA,2004.0,4.0,"3,376","3,126",179.0,4.5,29,151.0,81.55,81.55,53.9,4,53.9,4
