,Year,State,Replacement Ratio 1,Replacement Ratio 2,Recipiency Rate,Average WBA,Minimum WBA,Maximum WBA,Average Weekly Wage,Region,Annual Regional CPI-U,Annualized State Inflation Rate,MET,"Real Average WBA (regional, 2000 base)","Real Minimum WBA (regional, 2000 base)","Real Maximum WBA (regional, 2000 base)","Real Average WBA (state, 2000 base)","Real Minimum WBA (state, 2000 base)","Real Maximum WBA (state, 2000 base)","Real Average WBA (regional, 2023 base)","Real Minimum WBA (regional, 2023 base)","Real Maximum WBA (regional, 2023 base)","Real Average WBA (state, 2017 base)","Real Minimum WBA (state, 2017 base)","Real Maximum WBA (state, 2017 base)"
19,2000,MA,0.466,0.428,0.63767645663563,280.69,14.0,402.0,655.6,Northeast,179.4,0.033329926749999995,30; not less than $2000,280.69,14.0,402.0,280.69,14.0,402.0,490.95,24.49,703.13,406.02,20.25,581.49
20,2000,MD,0.461,0.393,0.29183831429671,207.92,25.0,250.0,529.42,South,167.2,0.01829472525,1- ½ x hqw; $576.01 in 1 qtr.; wages in 2 qtrs.,207.92,25.0,250.0,207.92,25.0,250.0,368.61,44.32,443.21,307.54,36.98,369.78
21,2000,ME,0.512,0.466,0.39376441773702,200.63,44.0,254.0,430.08,Northeast,179.4,,2 x annual aww in each of 2 qtrs. & 6 x annual aww in BP,200.63,44.0,254.0,,,,350.92,76.96,444.27,,,
22,2000,MI,0.476,0.426,0.43419663349932,245.35,87.0,300.0,575.3,Midwest,168.3,0.03168177075,20 wks. employment at 30 x State min. hourly wage,245.35,87.0,300.0,245.35,87.0,300.0,412.21,146.17,504.03,366.29,129.88,447.88
23,2000,MN,0.487,0.457,0.36875455106639,284.53,38.0,331.0,622.36,Midwest,168.3,0.03194819075,"1- 1/4 x hqw, at least $1000 in HQ",284.53,38.0,331.0,284.53,38.0,331.0,478.04,63.84,556.11,415.54,55.5,483.41
24,2000,MO,0.437,0.386,0.41440965750913,186.44,45.0,220.0,483.5,Midwest,168.3,0.033226381,1- ½ x hqw; $1000 in 1 qtr.; wages in 2 qtrs.,186.44,45.0,220.0,186.44,45.0,220.0,313.24,75.6,369.62,267.55,64.58,315.71
25,2000,MS,0.466,0.427,0.28074094154518,156.91,30.0,190.0,367.09,South,167.2,0.0316955515,40; $780 in 1 qtr.; wages in 2 qtrs.,156.91,30.0,190.0,156.91,30.0,190.0,278.18,53.19,336.84,251.03,47.99,303.97
26,2000,MT,0.434,0.41,0.34374940839161,193.63,63.0,254.0,472.26,West,174.8,,1- ½ x hqw; 7% of aaw in BP or 50% of aaw,193.63,63.0,254.0,,,,358.72,116.71,470.56,,,
27,2000,NC,0.517,0.498,0.35139831313921,223.47,25.0,322.0,448.69,South,167.2,0.0355045655,6 x State aww,223.47,25.0,322.0,223.47,25.0,322.0,396.18,44.32,570.86,290.0,32.44,417.86
28,2000,ND,0.466,0.432,0.37992504555138,213.76,43.0,283.0,494.49,Midwest,168.3,,1 - ½ x hqw,213.76,43.0,283.0,,,,359.14,72.24,475.47,,,
29,2000,NE,0.472,0.427,0.27919640463366,187.12,36.0,206.0,438.02,Midwest,168.3,,$1600; $800 in each of 2 qtrs.,187.12,36.0,206.0,,,,314.38,60.48,346.1,,,
30,2000,NH,0.419,0.393,0.17083107868171,218.1,32.0,301.0,555.22,Northeast,179.4,,$2800; $1200 in each of 2 qtrs.,218.1,32.0,301.0,,,,381.48,55.97,526.47,,,
31,2000,NJ,0.535,0.472,0.5404465583471,286.17,61.0,407.0,606.69,Northeast,179.4,0.016591193,20 wks. emplmt. at 20% of aww; or 12 x aww,286.17,61.0,407.0,286.17,61.0,407.0,500.54,106.69,711.88,433.96,92.5,617.19
32,2000,NM,0.481,0.434,0.2230286994157,182.32,46.0,246.0,420.37,West,174.8,,1 - 1/4 x hqw,182.32,46.0,246.0,,,,337.77,85.22,455.74,,,
33,2000,NV,0.458,0.402,0.44269884063201,237.95,16.0,267.0,591.51,West,174.8,,1- ½ x hqw,237.95,16.0,267.0,,,,440.83,29.64,494.64,,,
34,2000,NY,0.485,0.428,0.35402092081706,255.99,40.0,365.0,598.06,Northeast,179.4,0.031848520000000005,1 ½ x hqw; least $1600in hq; wages in 2 qtrs.,255.99,40.0,365.0,255.99,40.0,365.0,447.75,69.96,638.42,368.06,57.51,524.79
35,2000,OH,0.425,0.395,0.30207674334253,227.72,77.0,279.0,576.8,Midwest,168.3,0.024341799,20 wks. employment w/ wages in ea. wk. of 27.5% of State aww,227.72,77.0,279.0,227.72,77.0,279.0,382.59,129.37,468.75,330.96,111.91,405.49
36,2000,OK,0.513,0.455,0.24648669913636,217.66,16.0,276.0,478.65,South,167.2,0.03429920725,$1500 and 1 - ½ x hqw; $11400,217.66,16.0,276.0,217.66,16.0,276.0,385.88,28.37,489.31,327.42,24.07,415.17
37,2000,OR,0.474,0.44,0.43759912044289,231.26,84.0,360.0,525.66,West,174.8,0.03420837275,1- ½ x hqw; not less than $1000 in BP or 500 hrs. of employment in the BP,231.26,84.0,360.0,231.26,84.0,360.0,428.43,155.62,666.94,365.94,132.92,569.66
38,2000,PA,0.536,0.504,0.51380108612948,265.1,35.0,375.0,525.62,Northeast,179.4,0.02932211225,37 + - 40; $800 in HQ and $1320 in BP; at least 20% of bpw outside HQ,265.1,35.0,375.0,265.1,35.0,375.0,463.68,61.22,655.91,386.44,51.02,546.65
39,2000,PR,0.444,0.42,0.37749750670894,106.37,7.0,133.0,253.01,Northeast,179.4,,40 x wba not less than $280; $75 in 1 qtr.; wages in 2 qtrs.,106.37,7.0,133.0,,,,186.05,12.24,232.63,,,
40,2000,RI,0.556,0.521,0.5603153700822,268.18,52.0,383.0,515.22,Northeast,179.4,,,268.18,52.0,383.0,,,,469.07,90.95,669.9,,,
41,2000,SC,0.479,0.439,0.37098396769276,191.41,20.0,238.0,436.35,South,167.2,0.031366869250000005,1- ½ x hqw; not less than $900; $540 in 1 qtr.,191.41,20.0,238.0,191.41,20.0,238.0,339.34,35.46,421.94,261.84,27.36,325.57
42,2000,SD,0.451,0.428,0.19696253321244,185.34,28.0,214.0,432.87,Midwest,168.3,,$728 in HQ; 20 x wba outside HQ,185.34,28.0,214.0,,,,311.39,47.04,359.54,,,
43,2000,TN,0.454,0.424,0.38294352303659,191.66,30.0,255.0,451.8,South,167.2,0.0372798005,40; $780.01 in highest 2 qtrs.,191.66,30.0,255.0,191.66,30.0,255.0,339.79,53.19,452.08,291.43,45.62,387.74
44,2000,TX,0.504,0.436,0.23696587840243,229.41,47.0,287.0,525.67,South,167.2,0.033735258500000004,37 x wba,229.41,47.0,287.0,229.41,47.0,287.0,406.71,83.32,508.81,331.59,67.93,414.84
45,2000,UT,0.482,0.45,0.27608623178484,233.95,20.0,298.0,520.02,West,174.8,0.013798151625,1- ½ x hqw,233.95,20.0,298.0,233.95,20.0,298.0,433.42,37.05,552.07,317.28,27.12,404.15
46,2000,VA,0.458,0.405,0.27144093890694,204.6,50.0,230.0,505.44,South,167.2,0.02866770775,50; wages in 2 qtrs.,204.6,50.0,230.0,204.6,50.0,230.0,362.73,88.64,407.76,289.39,70.72,325.31
47,2000,VT,0.51,0.489,0.51010862789092,211.28,40.0,287.0,431.94,Northeast,179.4,,$1299 in a qtr.; BP wages of 40% of total HQ wages,211.28,40.0,287.0,,,,369.55,69.96,501.99,,,
48,2000,WA,0.519,0.498,0.44711973985973,284.79,94.0,441.0,571.72,West,174.8,0.029962151500000003,680 hours,284.79,94.0,441.0,284.79,94.0,441.0,527.6,174.14,817.0,428.35,141.39,663.31
49,2000,WI,0.479,0.443,0.52601543142193,240.77,44.0,297.0,543.08,Midwest,168.3,0.03160600125,30 x wba; 4 x wba outside HQ,240.77,44.0,297.0,240.77,44.0,297.0,404.52,73.92,498.99,349.11,63.8,430.64
50,2000,WV,0.417,0.395,0.31523877984263,198.37,24.0,318.0,501.69,South,167.2,,$2200 and wages in 2 qtrs,198.37,24.0,318.0,,,,351.68,42.55,563.77,,,
51,2000,WY,0.486,0.456,0.28743637084559,210.31,19.0,261.0,461.68,West,174.8,,1.4 x hqw; 8% of State aaw in BP,210.31,19.0,261.0,,,,389.62,35.2,483.53,,,
52,2001,AK,0.314,0.283,0.60441529601667,170.92,44.0,248.0,602.96,West,181.2,0.026904883,"$1,000; wages in 2 qtrs",164.88,42.45,239.24,168.77,43.45,244.88,305.46,78.64,443.22,256.47,66.02,372.13
53,2001,AL,0.423,0.367,0.34817207720034,168.27,45.0,190.0,458.56,South,171.1,0.024808015000000003,1-½ x hqw,164.43,43.97,185.67,163.66,43.77,184.8,291.52,77.96,329.17,238.57,63.8,269.38
54,2001,AR,0.529,0.502,0.57650058087208,221.91,57.0,321.0,441.76,South,171.1,0.02297380275,27 x wba; wages in 2 qtrs,216.85,55.7,313.68,215.76,55.42,312.11,384.45,98.75,556.12,280.21,71.98,405.34
55,2001,AZ,0.43,0.325,0.26575380964847,186.76,40.0,205.0,574.49,West,181.2,,"1-½ x hqw; $1,000 in HQ",180.16,38.59,197.76,,,,333.77,71.49,366.37,,,
56,2001,CA,0.36,0.279,0.46511343491664,176.15,40.0,230.0,630.26,West,181.2,0.035360847,"$1,300 in HQ or $900 in HQ w/ BP wages = to 1-1/4 x HQ",169.93,38.59,221.88,170.25,38.66,222.3,314.81,71.49,411.05,256.86,58.33,335.39
57,2001,CO,0.469,0.391,0.29734339973012,294.72,25.0,358.0,753.21,West,181.2,0.0535474825,"40 or $2500 in BP, whichever is greater",284.31,24.12,345.36,283.42,24.04,344.27,526.71,44.68,639.8,456.32,38.71,554.29
58,2001,CT,0.449,0.413,0.75692441468047,271.52,15.0,397.0,657.31,Northeast,184.4,0.024282605500000002,40 or 1-½ x hqw,264.16,14.59,386.24,265.42,14.66,388.08,462.03,25.52,675.56,356.85,19.71,521.77
59,2001,DC,0.466,0.386,0.30198758664916,264.81,50.0,309.0,686.64,South,171.1,0.021623584,"1-½ x hqw; not less than $1,950 in 2 qtrs; $1,300 in 1 qtr",258.77,48.86,301.96,257.32,48.59,300.26,458.77,86.62,535.33,372.45,70.32,434.61
60,2001,DE,0.469,0.425,0.48287279918814,240.81,20.0,315.0,566.1,South,171.1,,36,235.32,19.54,307.82,,,,417.19,34.65,545.72,,,
61,2001,FL,0.482,0.402,0.28626364693671,226.11,32.0,275.0,563.09,South,171.1,0.03010870025,"1-½ x hqw; $3,400 in BP",220.96,31.27,268.73,220.27,31.17,267.9,391.72,55.44,476.42,322.15,45.59,391.81
62,2001,GA,0.461,0.368,0.35297323058366,230.2,39.0,274.0,625.92,South,171.1,0.030780756499999996,150% of hqw; wages in 2 qtrs,224.95,38.11,267.75,223.63,37.89,266.18,398.81,67.57,474.69,309.82,52.49,368.76
63,2001,HI,0.57,0.484,0.44034873473098,308.43,5.0,383.0,637.19,West,181.2,0.007086348175,26; wages in 2 qtrs,297.54,4.82,369.47,303.09,4.91,376.37,551.21,8.94,684.48,433.88,7.03,538.79
64,2001,IA,0.522,0.485,0.52276912574339,240.98,40.0,273.0,497.2,Midwest,172.8,,1-1/4 x hqw; 3.5% of the Statewide aaw in HQ; ½ HQW of 2nd qtr,234.7,38.96,265.89,,,,394.33,65.45,446.72,,,
65,2001,ID,0.508,0.48,0.48103241045735,227.63,51.0,296.0,474.26,West,181.2,,1-1/4 x hqw; not less than the min qualifying wages in 1 qtr; wages in 2 qtrs,219.59,49.2,285.55,,,,406.81,91.15,529.0,,,
66,2001,IL,0.423,0.374,0.42875063410904,242.42,51.0,315.0,648.56,Midwest,172.8,0.018800608625,"$1,600; $440 outside HQ",236.11,49.67,306.8,235.2,49.48,305.62,396.68,83.45,515.45,328.74,69.16,427.17
67,2001,IN,0.505,0.451,0.41236952118633,256.4,50.0,288.0,568.73,Midwest,172.8,0.03512143375,"not less than $2,750; $1,650 in last 2 qtrs",249.72,48.7,280.5,247.98,48.36,278.54,419.56,81.82,471.27,365.14,71.21,410.15
68,2001,KS,0.524,0.452,0.35359914664387,263.78,80.0,320.0,583.84,Midwest,172.8,0.03445019025,30; wages in 2 qtrs,256.91,77.92,311.67,255.21,77.4,309.6,431.63,130.91,523.63,364.49,110.54,442.17
69,2001,KY,0.525,0.485,0.35822422426079,253.14,39.0,329.0,521.9,South,171.1,,1-½ x hqw; 8 x wba in last 2 qtrs; $750 in 1 qtr; $750 in other qtrs,247.37,38.11,321.5,,,,438.55,67.57,569.98,,,
70,2001,LA,0.477,0.42,0.24656190477587,200.72,10.0,258.0,477.65,South,171.1,0.024657163,"$1,200; 1-½ x hqw",196.14,9.77,252.12,194.76,9.7,250.34,347.74,17.32,446.97,286.36,14.27,368.08
71,2001,MA,0.484,0.418,0.69684323662163,327.4,29.0,477.0,783.09,Northeast,184.4,0.035888683750000004,"30; not less than $2,700",318.52,28.21,464.07,316.84,28.06,461.61,557.12,49.35,811.69,458.31,40.6,667.73
72,2001,MD,0.458,0.387,0.32642459712195,228.92,25.0,280.0,591.95,South,171.1,0.02088857775,1-½ x hqw; $576.01 in 1 qtr; wages in 2 qtrs,223.7,24.43,273.62,224.81,24.55,274.97,396.59,43.31,485.09,332.51,36.31,406.71
73,2001,ME,0.498,0.44,0.43046045234698,216.29,46.0,265.0,491.42,Northeast,184.4,,2 x annual aww in each of 2 qtrs and 6 x annual aww in BP,210.43,44.75,257.81,,,,368.05,78.28,450.94,,,
74,2001,MI,0.477,0.421,0.50966797511033,257.26,88.0,300.0,611.42,Midwest,172.8,0.03134029875,1-1/2 x hqw 20 wks employment at 30 x State min hourly wage,250.56,85.71,292.19,249.36,85.3,290.79,420.97,144.0,490.9,372.28,127.34,434.12
75,2001,MN,0.49,0.454,0.46194718362468,312.84,38.0,331.0,689.11,Midwest,172.8,0.038718258,"1-1/4 x hqw; at least $1,000 in HQ; 2 qtrs",304.69,37.01,322.38,303.15,36.82,320.75,511.91,62.18,541.63,442.74,53.78,468.44
76,2001,MO,0.438,0.383,0.41239468073583,204.76,40.0,250.0,535.11,Midwest,172.8,0.026111966249999997,"1-½ x hqw; $1,000 in 1 qtr; wages in 2 qtrs",199.43,38.96,243.49,198.18,38.71,241.96,335.06,65.45,409.09,284.39,55.56,347.22
77,2001,MS,0.461,0.419,0.37687931041779,164.55,30.0,190.0,392.38,South,171.1,0.034782394,40; $780 in 1 qtr; wages in 2 qtrs,160.8,29.32,185.67,159.49,29.08,184.16,285.07,51.97,329.17,255.16,46.52,294.63
78,2001,MT,0.436,0.416,0.40614117409818,200.44,65.0,263.0,481.59,West,181.2,,1-½ x hqw; 7% of aaw in BP or 50% of aaw,193.36,62.7,253.71,,,,358.22,116.17,470.02,,,
79,2001,NC,0.536,0.504,0.38831813748201,257.53,30.0,375.0,510.83,South,171.1,0.02272288975,At least $565.50 in BP; 1 ½ = HQW,251.66,29.32,366.45,248.7,28.97,362.14,446.16,51.97,649.67,322.74,37.6,469.95
80,2001,ND,0.5,0.482,0.42642011479324,226.83,43.0,293.0,470.65,Midwest,172.8,,1-½ x hqw,220.92,41.88,285.37,,,,371.17,70.36,479.45,,,
81,2001,NE,0.475,0.437,0.347422093457,206.61,36.0,252.0,472.44,Midwest,172.8,,"$1,600; $800 in each of 2 qtrs",201.23,35.06,245.44,,,,338.08,58.91,412.36,,,
82,2001,NH,0.428,0.369,0.27154104064941,245.69,32.0,301.0,666.43,Northeast,184.4,,"$2,800; $1,400 in each of 2 qtrs",239.03,31.13,292.84,,,,418.08,54.45,512.2,,,
83,2001,NJ,0.542,0.485,0.59828537377144,307.12,61.0,429.0,633.03,Northeast,184.4,0.01997957875,20 wks employment at 20% of aww; or 12 x aww,298.79,59.35,417.37,302.11,60.0,422.0,522.61,103.8,730.01,458.13,90.99,639.94
84,2001,NM,0.481,0.438,0.27387545954054,198.06,50.0,267.0,452.7,West,181.2,,"$1,324 in hqw and wages in at least one other qtr.",191.06,48.23,257.57,,,,353.97,89.36,477.17,,,
85,2001,NV,0.502,0.414,0.47139349379205,247.9,16.0,291.0,598.88,West,181.2,,1-½ x hqw,239.14,15.43,280.72,,,,443.04,28.59,520.06,,,
86,2001,NY,0.476,0.407,0.46744773380303,284.22,40.0,405.0,699.11,Northeast,184.4,0.026349764499999997,1 ½ x hqw; least $1600in hq; wages in 2 qtrs.,276.51,38.92,394.02,275.45,38.77,392.5,483.65,68.07,689.17,396.04,55.74,564.33
87,2001,OH,0.432,0.391,0.44393662008408,241.61,77.0,303.0,617.34,Midwest,172.8,0.02318266,20 wks employment w/ wages in each wk of 27.5% of State aww,235.32,74.99,295.11,235.87,75.17,295.8,395.36,126.0,495.81,342.8,109.25,429.91
88,2001,OK,0.487,0.399,0.30461154313702,231.92,16.0,291.0,581.0,South,171.1,0.032822372999999995,"$1,500; 1-½ x hqw; $9,800",226.63,15.64,284.37,224.23,15.47,281.35,401.79,27.72,504.14,337.3,23.27,423.22
89,2001,OR,0.492,0.449,0.52222885191366,264.98,88.0,376.0,590.55,West,181.2,0.031651848999999996,"1-½ x hqw; not less than $1,000 in BP or 500 hrs of employment in the BP",255.62,84.89,362.72,256.22,85.09,363.56,473.56,157.27,671.97,405.43,134.64,575.3
90,2001,PA,0.559,0.526,0.60202504434611,291.52,35.0,430.0,553.81,Northeast,184.4,0.0299522085,"$800 in HQ; $1,320 in BP; at least 20% of bpw outside HQ",283.62,34.05,418.34,283.22,34.0,417.75,496.07,59.56,731.71,412.85,49.57,608.96
91,2001,RI,0.578,0.524,0.57810739986653,287.04,56.0,397.0,548.15,Northeast,184.4,,[See note 19],279.26,54.48,386.24,,,,488.44,95.29,675.56,,,
92,2001,SC,0.494,0.459,0.43829887012159,205.66,20.0,259.0,447.73,South,171.1,0.028242287749999997,1-½ x hqw; not less than $900; $540 in 1 qtr,200.97,19.54,253.1,199.41,19.39,251.12,356.3,34.65,448.7,272.77,26.53,343.52
93,2001,SD,0.475,0.436,0.23714189869171,202.18,28.0,224.0,463.46,Midwest,172.8,,$728 in HQ; 20 x wba outside HQ,196.91,27.27,218.17,,,,330.84,45.82,366.54,,,
94,2001,TN,0.464,0.424,0.46830016284655,205.9,30.0,255.0,485.05,South,171.1,0.01928781425,40; $780.01 in highest 2 qtrs,201.21,29.32,249.19,198.5,28.92,245.84,356.71,51.97,441.77,301.83,43.98,373.8
95,2001,TX,0.472,0.384,0.28981408446544,244.87,48.0,294.0,636.86,South,171.1,0.029667406500000004,37; wages in at least 2 qtrs,239.29,46.91,287.3,236.88,46.43,284.41,424.22,83.16,509.34,342.39,67.12,411.09
96,2001,UT,0.501,0.454,0.30846389813089,262.16,22.0,355.0,576.94,West,181.2,0.027740074250000003,1-½ x hqw,252.9,21.22,342.46,258.59,21.7,350.17,468.52,39.32,634.44,350.7,29.43,474.9
97,2001,VA,0.454,0.362,0.29095022872841,224.24,50.0,268.0,619.92,South,171.1,0.016529526750000002,"$2,500 to $13,400.01 in highest 2 qtrs",219.13,48.86,261.89,217.99,48.61,260.53,388.48,86.62,464.3,308.32,68.75,368.49
98,2001,VT,0.518,0.491,0.53421505160262,231.27,,298.0,470.95,Northeast,184.4,,"$1,571 in a qtr; BP wages of 40% of total HQ wages",225.0,,289.92,,,,393.54,,507.09,,,
99,2001,WA,0.517,0.483,0.50459986998262,312.12,94.0,441.0,646.35,West,181.2,0.04640939925,680 hours,301.1,90.68,425.42,303.04,91.27,428.17,557.81,167.99,788.14,455.8,137.27,644.01
100,2001,WI,0.502,0.462,0.58001959377898,252.05,46.0,313.0,545.58,Midwest,172.8,0.02311860875,30; 4 x wba outside HQ,245.49,44.8,304.85,244.33,44.59,303.41,412.44,75.27,512.18,354.27,64.66,439.94
101,2001,WV,0.418,0.393,0.3539433103465,205.62,24.0,327.0,522.62,South,171.1,,"$2,200 and wages in 2 qtrs",200.93,23.45,319.55,,,,356.23,41.58,566.51,,,
102,2001,WY,0.493,0.455,0.28440415879064,218.38,20.0,271.0,480.0,West,181.2,,1.4 x hqw; 8% of State aaw in BP,210.67,19.29,261.43,,,,390.28,35.74,484.32,,,
103,2002,AK,0.319,0.281,0.60106542625236,173.3,44.0,248.0,616.03,West,184.7,0.014383593574999999,"$1,000; wages in 2 quarters",164.01,41.64,234.71,166.64,42.31,238.47,303.85,77.15,434.82,253.23,64.29,362.38
104,2002,AL,0.425,0.373,0.33066732382202,171.69,45.0,190.0,460.27,South,173.3,0.02804069275,1- ½ x hqw,165.65,43.42,183.31,162.94,42.71,180.32,293.67,76.97,324.99,237.52,62.26,262.86
105,2002,AR,0.523,0.499,0.5382424169135,227.5,60.0,333.0,455.79,South,173.3,0.02011934225,27 x wba; wages in 2 quarters,219.49,57.89,321.28,216.23,57.03,316.51,389.13,102.63,569.58,280.82,74.06,411.05
106,2002,AZ,0.391,0.313,0.27003631676307,188.6,40.0,205.0,602.99,West,184.7,,"1- ½ x hqw; $1,000 in HQ",178.49,37.86,194.01,,,,330.67,70.13,359.43,,,
107,2002,CA,0.393,0.31,0.45893317318848,225.21,40.0,330.0,726.81,West,184.7,0.029260125749999998,"$1,300 in HQ or $900 in HQ with BP wages = to 1-1/4 x HQ",213.14,37.86,312.31,210.23,37.34,308.06,394.86,70.13,578.59,317.19,56.34,464.77
108,2002,CO,0.469,0.395,0.29754713533264,320.39,25.0,390.0,811.58,West,184.7,0.0325120305,"40 or $2500 in BP, whichever is greater",303.22,23.66,369.1,292.44,22.82,355.98,561.74,43.83,683.79,470.85,36.74,573.15
109,2002,CT,0.441,0.402,0.65687248479669,280.45,15.0,406.0,697.57,Northeast,188.2,0.0054220418250000004,40 or 1- ½ x hqw,267.34,14.3,387.02,267.65,14.32,387.47,467.59,25.01,676.92,359.85,19.25,520.95
110,2002,DC,0.501,0.401,0.34551799786564,296.2,50.0,309.0,738.14,South,173.3,0.0161124765,"1- ½ x hqw; not less than $1,950 in 2 quarters; $1,300 in 1 quarter",285.77,48.24,298.12,281.73,47.56,293.9,506.64,85.52,528.53,407.78,68.84,425.41
111,2002,DE,0.455,0.415,0.48534493972261,253.32,20.0,330.0,610.53,South,173.3,,36,244.4,19.3,318.38,,,,433.29,34.21,564.45,,,
112,2002,FL,0.449,0.382,0.31841505161422,230.32,32.0,275.0,602.44,South,173.3,0.023758085,"1- ½ x hqw; $3,400 in BP",222.21,30.87,265.32,217.82,30.26,260.07,393.95,54.73,470.38,318.56,44.26,380.36
113,2002,GA,0.449,0.37,0.31873306885862,245.38,39.0,284.0,663.04,South,173.3,0.014318165124999999,150% of hqw; wages in 2 quarters,236.74,37.63,274.0,231.25,36.76,267.65,419.71,66.71,485.77,320.38,50.92,370.81
