,Unnamed: 0,Year,State,Replacement Ratio 1,Replacement Ratio 2,Recipiency Rate,Average WBA,Minimum WBA,Maximum WBA,Average Weekly Wage,Region,Annual Regional CPI-U,Annualized State Inflation Rate,MET,"Real Average WBA (regional, 2000 base)","Real Minimum WBA (regional, 2000 base)","Real Maximum WBA (regional, 2000 base)","Real Average WBA (state, 2000 base)","Real Minimum WBA (state, 2000 base)","Real Maximum WBA (state, 2000 base)","Real Average WBA (regional, 2023 base)","Real Minimum WBA (regional, 2023 base)","Real Maximum WBA (regional, 2023 base)","Real Average WBA (state, 2017 base)","Real Minimum WBA (state, 2017 base)","Real Maximum WBA (state, 2017 base)"
289,289,2005,NH,0.414,0.375,0.24777762123571,258.46,32.0,372.0,689.58,Northeast,207.5,,"$2,800; $1,400 in each of 2 quarters",223.46,27.67,321.62,,,,390.85,48.39,562.55,,,
293,293,2005,NY,0.434,0.359,0.40631062737649,296.84,40.0,405.0,826.72,Northeast,207.5,0.0358142039999999,"1½ x HQW; $1,600 in HQ",256.64,34.58,350.15,259.48,34.97,354.02,448.89,60.49,612.45,373.07,50.27,509.01
302,302,2005,TN,0.414,0.334,0.27240182936824,214.91,30.0,275.0,643.72,South,188.3,0.03359510675,40 x WBA; $780.01 in highest 2 quarters; BP wages outside HQW > the lesser of 6 x WBA or $900,190.83,26.64,244.18,190.48,26.59,243.74,338.31,47.23,432.91,289.64,40.43,370.62
305,305,2005,VA,0.433,0.377,0.20875627308445,253.17,50.0,326.0,672.08,South,188.3,0.03760845225,"$2,500 in highest 2 quarters",224.8,44.4,289.47,226.99,44.83,292.29,398.54,78.71,513.19,321.06,63.41,413.42
308,308,2005,WI,0.489,0.442,0.5050018822445,256.7,49.0,329.0,580.36,Midwest,188.4,0.03549318525,30 x WBA and 4 x WBA outside HQ,229.31,43.77,293.9,223.85,42.73,286.9,385.27,73.54,493.78,324.58,61.96,416.0
311,311,2006,AK,0.31,0.269,0.50462805859801,183.6,44.0,248.0,683.68,West,205.7,0.0417487222499999,"$1,000; wages in 2 qtrs",156.02,37.39,210.75,157.86,37.83,213.23,289.04,69.27,390.43,239.88,57.49,324.02
312,312,2006,AL,0.429,0.378,0.30790329864451,188.8,45.0,220.0,499.9,South,194.7,0.03253279075,1½ x HQW; qualify for at least minimum WBA,162.13,38.64,188.93,164.28,39.16,191.43,287.44,68.51,334.94,239.47,57.08,279.05
314,314,2006,AZ,0.453,0.33,0.1959439093722,211.42,60.0,240.0,640.34,West,205.7,,"1½ x HQW; $1,500 in 1 qtr or wages in 2 qtrs; wages in 1 qtr sufficient to qualify for maximum WBA, and BP wages ≥ taxable wage base",179.66,50.99,203.95,,,,332.84,94.46,377.83,,,
315,315,2006,CA,0.504,0.414,0.39471564861644,296.48,40.0,450.0,716.23,West,205.7,0.0379293512499999,"$1,300 in HQ, or $900 in HQ with BP wages = 1¼ x HQ",251.94,33.99,382.4,248.2,33.49,376.72,466.75,62.97,708.44,374.46,50.52,568.36
319,319,2006,DE,0.429,0.383,0.45387557640883,250.23,20.0,330.0,654.07,South,194.7,,36 x WBA,214.89,17.18,283.39,,,,380.96,30.45,502.41,,,
320,320,2006,FL,0.385,0.3,0.3728712320929,235.39,32.0,275.0,784.64,South,194.7,0.03304995275,"1½ x HQW; minimum $3,400; wages in 2 qtrs",202.14,27.48,236.16,201.17,27.35,235.03,358.37,48.72,418.68,294.22,40.0,343.73
321,321,2006,GA,0.477,0.405,0.21974795589087,262.53,40.0,300.0,647.86,South,194.7,0.022870386875,"150% x HQW or 40 x WBA; wages in 2 qtrs; earn $1,242 in 2 qtrs; $1,840; $920 in HQ",225.45,34.35,257.63,229.08,34.9,261.77,399.69,60.9,456.74,317.37,48.36,362.66
326,326,2006,IN,0.521,0.471,0.33497180744805,301.25,50.0,390.0,640.1,Midwest,193.0,0.0228334177499999,"1¼ x HQW totaling at least $1,650 in last 2 qtrs; not less than $2,750 in BP",262.7,43.6,340.09,256.18,42.52,331.65,441.35,73.25,571.38,377.21,62.61,488.34
331,331,2006,MD,0.462,0.402,0.27072120177003,275.38,25.0,340.0,685.22,South,194.7,0.03624901575,1½ x HQW; $576.01 in HQ,236.48,21.47,291.98,238.2,21.62,294.09,419.25,38.06,517.63,352.32,31.99,435.0
333,333,2006,MI,0.484,0.44,0.4184127075068,288.94,81.0,362.0,656.32,Midwest,193.0,0.03248880775,"1½ x HQW; at least $1,998 in HQ; or wages in 2 or more BP qtrs totaling at least 20 x state AWW",251.96,70.63,315.67,239.21,67.06,299.69,423.32,118.67,530.36,357.12,100.11,447.42
335,335,2006,MO,0.416,0.357,0.31193273992688,214.15,48.0,270.0,600.47,Midwest,193.0,0.0223484,"1½ x HQW; $1,300 in 1 qtr; or wages in 2 qtrs of BP = 1½ maximum taxable wage base",186.74,41.86,235.45,184.68,41.39,232.84,313.75,70.32,395.57,265.02,59.4,334.13
336,336,2006,MS,0.482,0.361,0.27231795942699,182.4,30.0,210.0,505.03,South,194.7,0.03972990325,40 x WBA; $780 in HQ; wages in 2 qtrs,156.64,25.76,180.34,151.57,24.93,174.5,277.7,45.67,319.72,242.48,39.88,279.17
341,341,2006,NH,0.396,0.36,0.26530546144727,260.86,32.0,372.0,724.5,Northeast,215.0,,"$2,800; $1,400 in each of 2 qtrs",217.67,26.7,310.4,,,,380.72,46.7,542.92,,,
345,345,2006,NY,0.423,0.362,0.41410413077739,296.33,40.0,405.0,817.7,Northeast,215.0,0.02253557155,"1½ x HQW; $1,600 in HQ",247.26,33.38,337.94,250.08,33.76,341.78,432.48,58.38,591.09,359.56,48.53,491.41
354,354,2006,TN,0.405,0.33,0.25387299966811,217.81,30.0,275.0,659.59,South,194.7,0.03614972225,40 x WBA; $780.01 in highest 2 qtrs; BP wages outside HQW > the lesser of 6 x WBA or $900,187.05,25.76,236.16,186.78,25.73,235.82,331.61,45.67,418.68,284.0,39.12,358.57
357,357,2006,VA,0.418,0.356,0.23162766262474,258.98,54.0,330.0,727.62,South,194.7,0.03098852575,"$2,700 in highest 2 qtrs of BP",222.4,46.37,283.39,223.79,46.66,285.16,394.29,82.21,502.41,316.52,66.0,403.32
360,360,2006,WI,0.474,0.433,0.50043243831869,257.74,51.0,341.0,594.81,Midwest,193.0,0.0294057515,30 x WBA and 4 x WBA outside HQ,224.75,44.47,297.36,217.06,42.95,287.17,377.61,74.72,499.59,314.72,62.28,416.39
363,363,2007,AK,0.305,0.264,0.47908050534138,177.67,44.0,248.0,674.02,West,212.23,0.026732335,"$1,000; wages in 2 qtrs",146.34,36.24,204.26,146.64,36.31,204.68,271.1,67.14,378.41,222.83,55.18,311.04
364,364,2007,AL,0.41,0.366,0.315676534697,190.95,45.0,230.0,521.35,South,200.361,0.0233164885,1½ x HQW; qualify for at least minimum WBA,159.35,37.55,191.93,160.92,37.92,193.83,282.5,66.57,340.27,234.57,55.28,282.54
366,366,2007,AZ,0.443,0.365,0.26508566503552,215.13,60.0,240.0,588.65,West,212.23,,"1½ x HQW; $1,500 in 1 qtr or wages in 2 qtrs; wages in 1 qtr sufficient to qualify for maximum WBA, and BP wages ≥ taxable wage base",177.19,49.42,197.67,,,,328.26,91.55,366.21,,,
367,367,2007,CA,0.49,0.412,0.39162306519665,308.7,40.0,450.0,748.47,West,212.23,0.0214780895,"$1,300 in HQ, or $900 in HQ with BP wages = 1¼ x HQ",254.26,32.95,370.64,248.98,32.26,362.95,471.03,61.03,686.64,375.65,48.68,547.59
371,371,2007,DE,0.444,0.397,0.53769763392612,253.24,20.0,330.0,637.8,South,200.361,,36 x WBA,211.33,16.69,275.38,,,,374.65,29.59,488.22,,,
372,372,2007,FL,0.375,0.311,0.36798155672388,239.13,32.0,275.0,768.94,South,200.361,0.01813476175,"1½ x HQW; minimum $3,400; wages in 2 qtrs",199.55,26.7,229.49,197.83,26.47,227.51,353.78,47.34,406.85,289.33,38.72,332.73
373,373,2007,GA,0.492,0.434,0.24006966397789,266.62,42.0,320.0,614.08,South,200.361,0.01539052225,wages in 2 qtrs & 150% x HQW or HQW divided by 22 for WBA w/ total earnings at least 40 x WBA,222.49,35.05,267.04,227.44,35.83,272.98,394.45,62.14,473.42,315.11,49.64,378.19
378,378,2007,IN,0.546,0.503,0.37635912995245,306.45,50.0,390.0,609.64,Midwest,198.123,0.028019295,"1¼ x HQW totaling at least $1,650 in last 2 qtrs; not less than $2,750 in BP",260.32,42.47,331.29,254.78,41.57,324.24,437.36,71.36,556.61,375.16,61.21,477.44
383,383,2007,MD,0.453,0.393,0.33075170268312,279.18,25.0,340.0,711.14,South,200.361,0.0388654325,1½ x HQW; $576.01 in HQ,232.97,20.86,283.73,233.04,20.87,283.81,413.03,36.99,503.01,344.69,30.87,419.78
385,385,2007,MI,0.49,0.443,0.39724156321599,292.37,110.0,362.0,660.51,Midwest,198.123,0.00586298397,"1½ x HQW; at least $1,998 in HQ ($2,697 effec 4/1/07); or wages in 2 or more BP qtrs totaling at least 20 x state AWW",248.36,93.44,307.51,234.43,88.2,290.26,417.27,156.99,516.64,349.99,131.68,433.34
387,387,2007,MO,0.427,0.354,0.30202689793678,227.3,56.0,280.0,642.77,Midwest,198.123,0.0212274,"1½ x HQW; $1,400 in 1 qtr; or wages in 2 qtrs of BP = 1½ maximum taxable wage base",193.09,47.57,237.85,191.73,47.24,236.19,324.4,79.92,399.61,275.14,67.79,338.93
388,388,2007,MS,0.437,0.318,0.24569786548892,178.56,30.0,210.0,561.73,South,200.361,0.03358119025,40 x WBA; $780 in HQ; wages in 2 qtrs,149.01,25.03,175.24,142.71,23.98,167.83,264.17,44.38,310.68,228.3,38.36,268.5
393,393,2007,NH,0.415,0.37,0.29007338721711,265.65,32.0,372.0,717.85,Northeast,220.512,,"$2,800; $1,400 in each of 2 qtrs",216.12,26.03,302.64,,,,378.02,45.54,529.35,,,
397,397,2007,NY,0.438,0.367,0.41194303871013,296.37,40.0,405.0,806.63,Northeast,220.512,0.0228152135,"1½ x HQW; $1,600 in HQ",241.12,32.54,329.49,244.6,33.01,334.25,421.73,56.92,576.31,351.68,47.46,480.58
406,406,2007,TN,0.397,0.366,0.28942983422878,221.95,30.0,275.0,606.26,South,200.361,0.0150400568,40 x WBA; $780.01 avg wages in highest 2 qtrs; BPW outside HQW > the lesser of 6 x WBA or $900,185.22,25.03,229.49,183.69,24.83,227.59,328.36,44.38,406.85,279.3,37.75,346.06
409,409,2007,VA,0.449,0.398,0.24149031280745,273.83,54.0,347.0,687.9,South,200.361,0.03295146125,"$2,700 in highest 2 qtrs of BP",228.51,45.06,289.57,229.51,45.26,290.83,405.11,79.89,513.37,324.61,64.01,411.35
412,412,2007,WI,0.476,0.444,0.51023747260697,273.11,53.0,355.0,615.26,Midwest,198.123,0.0245168375,30 x WBA and 4 x WBA outside HQ,232.0,45.02,301.56,223.43,43.36,290.42,389.78,75.64,506.65,323.97,62.87,421.11
415,415,2008,AK,0.306,0.271,0.47766806632849,185.2,44.0,248.0,683.41,West,219.646,0.03360289025,"$1,000; wages in 2 qtrs",147.39,35.02,197.36,148.87,35.37,199.35,273.05,64.87,365.64,226.23,53.75,302.94
416,416,2008,AL,0.425,0.395,0.29373475471789,199.98,45.0,235.0,506.91,South,208.681,0.04474919275,1½ x HQW; qualify for at least minimum WBA,160.23,36.06,188.29,164.69,37.06,193.53,284.06,63.92,333.81,240.06,54.02,282.1
418,418,2008,AZ,0.426,0.368,0.26588578864302,219.5,60.0,240.0,596.56,West,219.646,,"1½ x HQW; $1,500 in 1 qtr or wages in 2 qtrs; wages in 1 qtr sufficient to qualify for maximum WBA, and BP wages ≥ taxable wage base",174.68,47.75,191.0,,,,323.62,88.46,353.84,,,
419,419,2008,CA,0.48,0.419,0.37999242647157,315.07,40.0,450.0,751.39,West,219.646,0.03083290325,"$1,300 in HQ, or $900 in HQ with BP wages = 1¼ x HQ",250.74,31.83,358.12,248.78,31.58,355.32,464.52,58.97,663.46,375.34,47.65,536.08
423,423,2008,DE,0.431,0.379,0.46225074906633,259.0,20.0,330.0,684.24,South,208.681,,36 x WBA,207.52,16.02,264.4,,,,367.9,28.41,468.75,,,
424,424,2008,FL,0.351,0.299,0.34129885432331,239.55,32.0,275.0,801.29,South,208.681,0.0367388677499999,"1½ x HQW; minimum $3,400; wages in 2 qtrs",191.93,25.64,220.34,194.65,26.0,223.45,340.27,45.45,390.63,284.68,38.03,326.81
425,425,2008,GA,0.486,0.427,0.25580409257397,271.7,44.0,320.0,636.55,South,208.681,0.03201942275,wages in 2 qtrs & 150% x HQW or HQW divided by 21 for WBA w/ total earnings at least 40 x WBA,217.69,35.25,256.39,228.27,36.97,268.84,385.94,62.5,454.55,316.24,51.21,372.46
430,430,2008,IN,0.538,0.492,0.3871855253792,314.7,50.0,390.0,639.11,Midwest,205.382,0.0445811385,"1¼ x HQW totaling at least $1,650 in last 2 qtrs; not less than $2,750 in BP",257.88,40.97,319.58,254.51,40.44,315.4,433.26,68.84,536.93,374.76,59.54,464.43
435,435,2008,MD,0.466,0.413,0.3653817609156,302.49,25.0,380.0,732.03,South,208.681,0.0635716855,1½ x HQW; $576.01 in HQ,242.36,20.03,304.46,243.05,20.09,305.33,429.67,35.51,539.77,359.5,29.71,451.61
437,437,2008,MI,0.486,0.43,0.40747520421231,297.97,113.0,362.0,693.42,Midwest,205.382,0.0220204885,"1½ x HQW; at least $2,774 in HQ (from 1/6/08 thru 1/3/09); or wages in 2 or more BP qtrs totaling at least 20 x state AWW",244.17,92.6,296.64,237.53,90.08,288.57,410.23,155.57,498.38,354.61,134.48,430.81
439,439,2008,MO,0.42,0.359,0.31032237603346,247.43,45.0,320.0,688.81,Midwest,205.382,0.02677282325,"1½ x HQW; $1,500 in 1 qtr; or wages in 2 qtrs of BP = 1½ maximum taxable wage base",202.76,36.88,262.22,204.37,37.17,264.32,340.65,61.95,440.56,293.28,53.34,379.3
440,440,2008,MS,0.434,0.388,0.29225904311196,184.68,30.0,210.0,475.41,South,208.681,0.0566225005,40 x WBA; $780 in HQ; wages in 2 qtrs,147.97,24.04,168.26,142.8,23.2,162.38,262.33,42.61,298.3,228.46,37.11,259.78
445,445,2008,NH,0.43,0.4,0.36587958591231,275.78,32.0,427.0,688.8,Northeast,229.306,,"$2,800; $1,400 in each of 2 qtrs",215.76,25.04,334.07,,,,377.38,43.79,584.31,,,
449,449,2008,NY,0.432,0.353,0.40199142935476,307.24,40.0,405.0,870.42,Northeast,229.306,0.03469597975,"1½ x HQW; $1,600 in HQ",240.37,31.29,316.86,247.91,32.28,326.79,420.43,54.74,554.21,356.45,46.41,469.86
458,458,2008,TN,0.395,0.356,0.26972567283192,223.75,30.0,275.0,627.86,South,208.681,0.04448565,40 x WBA; $780.01 avg wages in highest 2 qtrs; BPW outside HQW > the lesser of 6 x WBA or $900,179.27,24.04,220.34,182.43,24.46,224.22,317.83,42.61,390.63,277.4,37.19,340.94
461,461,2008,VA,0.46,0.395,0.24572729053127,285.39,54.0,363.0,722.17,South,208.681,0.034218443,"$2,700 in highest 2 qtrs of BP",228.66,43.27,290.84,231.57,43.82,294.54,405.38,76.7,515.63,327.52,61.97,416.59
