Year, State, Sample, Valid cases, Replacement Ratio 1, Replacement Ratio 2, Average WBA, Average Weekly Wage
2023, KS, 482, 479, 0.517, 0.448, $477.17, $1,064.91
2023, KY, 485, 484, 0.494, 0.458, $483.35, $1,055.16
2023, LA, 484, 484, 0.347, 0.299, $243.83, $815.41
2023, ME, 360, 360, 0.498, 0.459, $457.58, $995.99
2023, MD, 486, 484, 0.412, 0.346, $383.83, $1,109.31
2023, MA, 452, 449, 0.480, 0.432, $679.44, $1,572.14
2023, MI, 483, 481, 0.400, 0.343, $341.75, $996.91
2023, MN, 482, 480, 0.477, 0.445, $547.88, $1,230.95
2023, MS, 482, 482, 0.339, 0.299, $221.87, $741.62
2023, MO, 473, 464, 0.344, 0.288, $287.44, $997.50
2023, MT, 359, 358, 0.489, 0.449, $483.94, $1,076.73
2023, NE, 361, 361, 0.470, 0.443, $423.67, $957.02
2023, NV, 520, 514, 0.512, 0.424, $461.51, $1,088.12
2023, NH, 363, 363, 0.342, 0.278, $366.89, $1,319.36
Prepared by OUI Div. of Performance Management on 30 Mar 2025.
