State,Year,Quarter,Civilian Labor Force(000),Covered Employment(000),Subject Employers(000),Total Unemployment Rate,,Total Unemployed(000),Insured Unemployed Regular Programs(000),Insured Unemployed All Programs(000),Recipiency Rates Regular Programs ,,Recipiency Rates All Programs ,
PR,2021,2,"1,167",845,55,7.8,3,91,28.5,29.56,31.3,35,32.5,35
PR,2021,3,"1,180",858,56,8.8,2,104,37.01,37.61,35.7,17,36.2,19
PR,2021,4,"1,213",900,56,7,2,85,22.86,23.02,26.9,26,27,28
PR,2022,1,"1,210",892,58,6.1,2,73,13.25,13.3,18,40,18.1,40
PR,2022,2,"1,183",893,57,5.8,2,69,11.19,11.21,16.3,33,16.3,33
PR,2022,3,"1,157",895,58,6,2,69,15.12,15.13,21.8,17,21.8,17
PR,2022,4,"1,199",933,59,6.2,2,74,15.67,15.67,21.1,26,21.1,26
PR,2023,1,"1,203",907,59,5.8,2,69,14.43,14.43,20.8,36,20.8,36
PR,2023,2,"1,168",911,59,5.9,2,69,12.98,12.98,18.7,38,18.7,38
PR,2023,3,"1,195",909,60,6.1,2,73,19.35,19.35,26.4,17,26.4,17
PR,2023,4,"1,223",940,60,5.7,2,69,15.05,15.05,21.7,32,21.7,32
,,,,,,,,,,,,,,
