Year, State, Sample, Valid cases, Replacement Ratio 1, Replacement Ratio 2, Average WBA, Average Weekly Wage
2020, CO, 322, 319, 0.486, 0.427, $398.39, $931.93
2020, CT, 365, 359, 0.397, 0.370, $311.75, $842.75
2020, DE, 270, 270, 0.392, 0.371, $250.74, $675.51
2020, DC, 355, 355, 0.431, 0.393, $347.41, $884.98
2020, FL, 356, 356, 0.406, 0.343, $234.59, $683.90
2020, GA, 360, 356, 0.444, 0.399, $262.09, $657.13
2020, HI, 264, 264, 0.619, 0.554, $451.63, $815.81
2020, ID, 265, 263, 0.497, 0.457, $320.87, $701.78
2020, IL, 360, 359, 0.388, 0.343, $301.93, $881.06
2020, IN, 330, 325, 0.351, 0.326, $233.81, $716.85
2021, AL, 515, 514, 0.454, 0.361, $259.02, $717.63
2021, AK, 478, 474, 0.306, 0.273, $258.88, $946.65
2021, AZ, 480, 467, 0.342, 0.287, $237.44, $828.53
2021, AR, 480, 477, 0.369, 0.356, $249.35, $700.70
2021, CA, 479, 476, 0.416, 0.347, $331.40, $955.58
2021, CO, 480, 467, 0.474, 0.435, $431.37, $992.19
2021, CT, 489, 484, 0.397, 0.360, $350.07, $972.69
2021, DE, 314, 302, 0.381, 0.347, $283.69, $816.67
2021, DC, 482, 478, 0.388, 0.319, $367.25, $1,152.35
2021, FL, 480, 478, 0.371, 0.309, $239.22, $773.36
2021, GA, 490, 465, 0.456, 0.399, $285.72, $715.81
2021, HI, 396, 388, 0.570, 0.476, $490.30, $1,030.44
2021, ID, 359, 359, 0.474, 0.440, $354.34, $804.97
2021, IL, 481, 479, 0.376, 0.342, $325.66, $952.84
2021, IN, 497, 494, 0.331, 0.311, $260.82, $838.90
2022, AL, 497, 496, 0.369, 0.317, $242.41, $765.64
2022, AK, 516, 513, 0.297, 0.264, $271.71, $1,029.61
2022, AZ, 507, 494, 0.355, 0.301, $257.85, $857.17
2022, AR, 480, 477, 0.377, 0.342, $283.48, $828.37
2022, CA, 392, 391, 0.420, 0.332, $366.83, $1,105.74
2022, CO, 485, 484, 0.484, 0.433, $497.40, $1,149.77
2022, CT, 501, 473, 0.434, 0.380, $427.68, $1,125.92
2022, DE, 55, 54, 0.385, 0.353, $316.11, $894.61
2022, DC, 489, 484, 0.365, 0.270, $389.24, $1,442.21
2022, FL, 486, 480, 0.350, 0.295, $251.20, $850.42
2022, GA, 486, 480, 0.411, 0.337, $327.49, $972.52
2022, HI, 345, 337, 0.513, 0.422, $541.46, $1,283.67
2022, ID, 379, 376, 0.485, 0.444, $393.27, $885.09
2022, IL, 490, 489, 0.380, 0.341, $386.30, $1,133.03
2022, IN, 496, 494, 0.339, 0.309, $297.24, $962.83
2023, AL, 477, 475, 0.348, 0.298, $250.84, $840.36
2023, AK, 472, 470, 0.296, 0.268, $281.56, $1,052.57
2023, AZ, 455, 453, 0.366, 0.301, $310.48, $1,030.70
2023, AR, 481, 481, 0.390, 0.353, $308.18, $872.82
2023, CA, 560, 560, 0.372, 0.281, $384.56, $1,370.95
2023, CO, 475, 473, 0.500, 0.429, $598.00, $1,394.60
2023, CT, 484, 481, 0.430, 0.378, $486.09, $1,285.47
2023, DE, 35, 35, 0.443, 0.431, $347.81, $807.09
2023, DC, 481, 479, 0.343, 0.268, $404.76, $1,511.83
2023, FL, 479, 478, 0.330, 0.263, $261.28, $991.91
2023, GA, 450, 439, 0.370, 0.290, $340.57, $1,175.28
2023, HI, 408, 406, 0.610, 0.493, $612.31, $1,242.99
2023, ID, 352, 348, 0.484, 0.430, $431.21, $1,002.54
2023, IL, 481, 481, 0.398, 0.357, $440.54, $1,234.05
2023, IN, 494, 494, 0.398, 0.341, $327.34, $960.74
Prepared by OUI Div. of Performance Management on 30 Mar 2025.
